Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.035017,-0.141932,-0.035175,-290.985901,-1369.093384,524.347473,-0.239193,-0.04872,0.126388,-295.42511,-1559.36145,909.567078,-0.620201,-0.749558,-1.194022,-523.485107,-1409.459717,370.746063,-0.137701,-1.072668,-1.134384,-548.988281,-1213.535889,193.375595,-0.273143,-0.328039,0.510429,-409.02359,-1397.891357,491.170044,-1.109539,0.552855,1.76352,-18.398657,-1423.894287,390.144928,-0.379542,-1.211662,-0.602273,-4.45799,-1210.560181,137.836105,-0.319505,0.043358,0.073409,-138.427872,-1388.065552,538.430542,-0.039672,-0.122099,-0.208191,-223.706924,-1327.43457,201.284271
2,0,0.031527,-0.14142,-0.035855,-291.052002,-1369.072021,524.302307,-0.23857,-0.049998,0.12774,-295.46759,-1559.178345,909.615295,-0.618637,-0.749305,-1.192704,-523.649292,-1409.453491,370.815613,-0.135967,-1.069505,-1.133423,-549.061768,-1213.483154,193.52243,-0.277528,-0.326778,0.507219,-409.069672,-1397.947144,491.151733,-1.13753,0.564873,1.810899,-18.222656,-1424.680786,390.581329,-0.379803,-1.211888,-0.600942,-4.529541,-1210.375854,138.001968,-0.32256,0.044348,0.075517,-138.464508,-1387.917236,538.411377,-0.042719,-0.12168,-0.205564,-223.697342,-1327.898804,201.10817
3,0,0.02961,-0.141511,-0.033404,-291.07547,-1369.088623,524.243164,-0.240466,-0.049079,0.130871,-295.512726,-1558.978027,909.630127,-0.616937,-0.750531,-1.19278,-523.811218,-1409.432617,370.931763,-0.133565,-1.060983,-1.13324,-549.115173,-1213.397217,193.65773,-0.269358,-0.31988,0.503368,-409.131226,-1398.013428,491.200745,-1.129443,0.568472,1.820048,-18.141582,-1424.512207,390.529053,-0.379593,-1.209658,-0.600212,-4.642104,-1210.166748,138.122284,-0.318255,0.044838,0.07573,-138.561142,-1387.788086,538.338318,-0.043104,-0.123359,-0.206504,-223.719574,-1328.324951,201.010956
4,0,0.028705,-0.141344,-0.035628,-291.179596,-1369.034912,524.159546,-0.24064,-0.050494,0.129726,-295.466827,-1558.802002,909.688599,-0.616128,-0.749333,-1.191072,-523.953613,-1409.419067,371.010406,-0.133647,-1.07002,-1.133214,-549.195557,-1213.282593,193.755936,-0.276413,-0.32789,0.512196,-409.123535,-1398.102905,491.047424,-1.1284,0.56762,1.82006,-18.03915,-1424.44165,390.625336,-0.380434,-1.209873,-0.598933,-4.647509,-1210.040405,138.276352,-0.312606,0.045078,0.078129,-138.56897,-1387.685425,538.268982,-0.046399,-0.124954,-0.203808,-223.797165,-1328.796509,200.881729
5,0,0.031123,-0.140997,-0.035252,-291.212677,-1369.054321,524.029785,-0.241785,-0.050736,0.130853,-295.452698,-1558.57959,909.764221,-0.616336,-0.748339,-1.189354,-524.087036,-1409.409668,371.095734,-0.129147,-1.053727,-1.132205,-549.276855,-1213.239746,193.986221,-0.280071,-0.325064,0.511648,-409.106354,-1398.229736,491.051453,-1.137928,0.570283,1.811669,-17.929424,-1424.611938,391.015839,-0.379073,-1.210103,-0.602439,-4.601021,-1209.802246,138.449478,-0.314091,0.04496,0.077258,-138.633347,-1387.564453,538.294617,-0.035925,-0.113676,-0.216358,-223.58577,-1329.560791,200.778625
6,0,0.027344,-0.141309,-0.033598,-291.171173,-1369.101074,524.022522,-0.243835,-0.051614,0.131866,-295.402832,-1558.352173,909.857361,-0.615774,-0.748189,-1.18714,-524.211182,-1409.389282,371.165253,-0.12732,-1.054626,-1.132139,-549.352661,-1213.148315,194.141251,-0.278918,-0.325834,0.509672,-409.167023,-1398.206299,491.039978,-1.128878,0.573143,1.812745,-17.912996,-1424.47876,391.156921,-0.377477,-1.210491,-0.600576,-4.571789,-1209.626465,138.629288,-0.31011,0.044324,0.079016,-138.636398,-1387.491821,538.26123,-0.04628,-0.12409,-0.20525,-223.882706,-1329.84314,200.650101
7,0,0.027179,-0.141022,-0.034954,-291.235046,-1369.102051,523.960022,-0.242895,-0.053948,0.130186,-295.287476,-1558.179688,910.032593,-0.614658,-0.747752,-1.185667,-524.33606,-1409.391968,371.260681,-0.128345,-1.058657,-1.133414,-549.453491,-1213.022095,194.304886,-0.279033,-0.319889,0.502619,-409.126556,-1398.418213,491.128601,-1.13869,0.567499,1.814013,-17.720394,-1424.57605,391.220886,-0.378548,-1.208332,-0.601411,-4.655664,-1209.508301,138.808105,-0.313427,0.045401,0.079284,-138.685745,-1387.375977,538.280518,-0.044676,-0.122702,-0.207205,-223.891373,-1330.385254,200.561096
8,0,0.02409,-0.14092,-0.036259,-291.260254,-1369.147583,523.952698,-0.245039,-0.052591,0.132111,-295.188324,-1557.955933,910.117065,-0.611003,-0.747426,-1.183507,-524.504944,-1409.421631,371.436737,-0.122239,-1.046506,-1.131367,-549.539673,-1212.996582,194.528793,-0.281785,-0.323156,0.505765,-409.152954,-1398.453613,491.09314,-1.129422,0.567949,1.813492,-17.678265,-1424.472168,391.425385,-0.377298,-1.207021,-0.601519,-4.74198,-1209.338501,138.98436,-0.309829,0.045161,0.080388,-138.705048,-1387.32312,538.272766,-0.050721,-0.12605,-0.205281,-224.016998,-1330.814575,200.497818
9,0,0.01977,-0.14112,-0.03488,-291.249268,-1369.174438,523.984802,-0.244604,-0.054215,0.132341,-295.055542,-1557.766724,910.281006,-0.608654,-0.746323,-1.180243,-524.64856,-1409.446777,371.587952,-0.125194,-1.063517,-1.133377,-549.693665,-1212.883179,194.651901,-0.287655,-0.322747,0.506287,-409.133179,-1398.572998,491.116241,-1.131883,0.563015,1.81151,-17.514757,-1424.477539,391.522675,-0.374512,-1.207364,-0.60077,-4.783347,-1209.145508,139.272919,-0.312203,0.045523,0.080055,-138.755875,-1387.286865,538.313599,-0.052313,-0.125432,-0.206367,-224.03685,-1331.331909,200.402786
