Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.113100,-0.037552,0.008055,346.321198,-844.043274,553.831116,-0.324965,0.064478,-0.153388,372.079559,-1057.284424,948.548950,0.621351,0.066604,-0.001432,-47.698990,-1043.632568,615.921021,0.106752,-0.058671,0.029421,-276.344421,-1040.600098,591.284241,0.035634,-0.034045,0.082443,221.608200,-867.480713,534.037354,0.062213,-0.145522,0.292935,791.183960,-1046.257324,660.559326,0.019172,0.029580,0.025809,1016.512024,-1017.867065,647.913757,0.120170,-0.029516,0.039550,510.116028,-866.600769,554.649841,0.071926,-0.012181,0.043747,363.860199,-774.647461,229.406525
2,0,0.115437,-0.037947,0.008389,346.221985,-844.208557,553.752747,-0.323852,0.064832,-0.154993,371.767059,-1057.338257,948.517456,0.620682,0.066307,-0.000897,-47.979691,-1043.802856,615.745300,0.110312,-0.052338,0.032758,-276.543304,-1040.158325,591.239014,0.033986,-0.033995,0.082796,221.476013,-867.537170,534.006592,0.076434,-0.143546,0.281342,791.070740,-1046.598755,660.620911,0.011551,0.020665,0.019413,1016.316284,-1017.926941,647.607727,0.120051,-0.029732,0.038113,509.998871,-866.920227,554.631165,0.071382,-0.011529,0.042156,363.822418,-774.897217,229.359604
3,0,0.101340,-0.041342,0.013024,346.180481,-844.362305,553.965271,-0.322311,0.065880,-0.156590,371.255585,-1057.427124,948.674255,0.623104,0.065814,-0.001423,-48.309856,-1043.990967,615.584229,0.113887,-0.050861,0.031277,-276.848785,-1039.830078,591.252625,0.033372,-0.035417,0.079073,221.298126,-867.604797,533.958984,0.065951,-0.113820,0.313110,790.146912,-1047.287964,659.936707,0.009431,0.016267,0.025807,1016.161194,-1018.111084,647.485718,0.119536,-0.029841,0.037787,509.856415,-867.263977,554.579041,0.071216,-0.011688,0.041361,363.772583,-775.190308,229.279251
4,0,0.100850,-0.040944,0.012449,346.022400,-844.545044,553.927795,-0.322178,0.066696,-0.157934,370.810181,-1057.471069,948.636963,0.623362,0.066297,-0.000228,-48.631718,-1044.167969,615.173523,0.118130,-0.045694,0.032255,-277.064392,-1039.451782,591.238953,0.032664,-0.034683,0.077575,221.098099,-867.659363,533.907959,0.071512,-0.126520,0.296083,790.042542,-1048.023071,659.709167,0.016624,0.023924,0.030632,1015.606873,-1018.046265,647.835388,0.123692,-0.029681,0.034665,509.665741,-867.695129,554.483276,0.071405,-0.010685,0.039734,363.696808,-775.510986,229.211761
5,0,0.110163,-0.038127,0.006194,345.723755,-844.783813,553.677368,-0.333104,0.068954,-0.151360,370.071228,-1057.839966,948.521851,0.626251,0.064822,0.000325,-48.954136,-1044.340454,614.721497,0.124392,-0.045777,0.029679,-277.461060,-1039.022095,591.238647,0.033399,-0.034554,0.076261,220.903091,-867.762329,533.836914,0.069771,-0.123608,0.306960,789.545349,-1048.785645,659.015930,0.007018,0.012591,0.032297,1015.411499,-1018.236877,647.451965,0.123609,-0.029460,0.031176,509.449951,-868.128540,554.407043,0.070585,-0.012365,0.041257,363.549225,-775.868225,229.089828
6,0,0.113399,-0.037341,0.004963,345.508636,-845.015930,553.492371,-0.320892,0.068844,-0.162930,369.650665,-1057.510254,948.565674,0.622952,0.066787,-0.000654,-49.220211,-1044.523682,613.971375,0.127033,-0.042456,0.029247,-277.847687,-1038.373901,591.306458,0.033533,-0.033979,0.073794,220.657639,-867.843994,533.741638,0.064301,-0.110386,0.317768,788.905640,-1049.349487,657.925354,0.006358,0.003775,0.041701,1015.002625,-1018.240112,647.156616,0.122011,-0.031669,0.030713,509.203796,-868.531555,554.335388,0.070431,-0.012200,0.039763,363.421173,-776.257751,228.959717
7,0,0.114144,-0.037742,0.003816,345.267731,-845.233643,553.338318,-0.333969,0.069105,-0.162176,368.850281,-1057.755127,948.256165,0.624804,0.065991,-0.000088,-49.704052,-1044.797363,613.506348,0.135201,-0.046082,0.014096,-278.494110,-1037.861328,591.413147,0.033359,-0.033181,0.072647,220.395935,-867.948059,533.612488,0.061493,-0.107789,0.329483,788.231262,-1050.300171,657.003601,0.003176,-0.001916,0.042423,1014.484192,-1018.035767,647.027100,0.120921,-0.028443,0.027806,508.967865,-868.976257,554.178894,0.070154,-0.012771,0.040363,363.251160,-776.685425,228.773926
8,0,0.112102,-0.036526,0.001965,344.984375,-845.454895,553.172424,-0.321317,0.072681,-0.169892,367.973480,-1057.440186,948.504944,0.624782,0.061978,-0.009429,-49.931110,-1045.096069,612.888794,0.139246,-0.039728,0.011242,-278.945587,-1037.035400,591.563538,0.032534,-0.033550,0.073288,220.133041,-868.083252,533.435303,0.072986,-0.151460,0.275650,788.677795,-1051.139648,656.577271,-0.002486,-0.008732,0.045785,1013.817322,-1017.839905,646.892395,0.119229,-0.026650,0.026538,508.680511,-869.373291,553.976868,0.068999,-0.012932,0.038932,363.081024,-777.123413,228.569046
9,0,0.115669,-0.037121,0.002408,344.696289,-845.680664,552.895508,-0.319790,0.075295,-0.178801,367.023499,-1057.411743,948.494812,0.620913,0.065097,-0.004446,-50.561840,-1045.257812,612.100647,0.140921,-0.037161,0.005238,-279.507477,-1036.050171,591.826416,0.032299,-0.034403,0.073408,219.850266,-868.246887,533.209595,0.061825,-0.108569,0.311772,787.211121,-1052.130859,655.099548,-0.007202,-0.016193,0.053246,1013.145325,-1017.733093,646.701050,0.120098,-0.027975,0.025052,508.292664,-869.758423,553.811096,0.066041,-0.012400,0.036361,362.892853,-777.602478,228.304260
10,0,0.108518,-0.036328,-0.001068,344.320190,-845.938110,552.720459,-0.323637,0.077256,-0.185076,365.923279,-1057.284668,948.305725,0.609588,0.068794,-0.005324,-51.026333,-1045.313232,610.966309,0.143714,-0.030061,-0.000771,-280.063232,-1034.762695,592.082458,0.031950,-0.033657,0.072427,219.486725,-868.400024,532.950867,0.048005,-0.100873,0.316455,786.366821,-1053.338745,653.608276,-0.019851,-0.021537,0.055194,1012.258667,-1017.547974,646.644531,0.119743,-0.026175,0.026991,508.031891,-870.158386,553.567932,0.065620,-0.013124,0.035225,362.669434,-778.171509,227.969467
11,0,0.104176,-0.038651,0.001025,343.988770,-846.181091,552.435059,-0.320668,0.081539,-0.195545,364.654755,-1057.226929,948.262085,0.608750,0.065491,-0.009289,-51.500084,-1045.627441,610.138184,0.148131,-0.025713,-0.006585,-280.602966,-1033.226807,592.317810,0.029735,-0.034778,0.071629,219.097168,-868.578308,532.599121,0.047220,-0.103181,0.318742,785.583130,-1054.690063,652.246277,-0.031879,-0.024790,0.057690,1011.235962,-1017.330627,646.570190,0.116262,-0.029396,0.023275,507.510071,-870.589417,553.271057,0.066662,-0.012293,0.032307,362.395111,-778.886169,227.530518
12,0,0.105790,-0.037283,-0.001614,343.560150,-846.479248,552.014099,-0.315639,0.081008,-0.204609,363.197968,-1057.029297,948.235535,0.604832,0.064727,-0.009456,-52.186451,-1045.924194,609.222595,0.149432,-0.027025,-0.016689,-281.190948,-1031.518799,592.578186,0.026769,-0.036384,0.070427,218.659882,-868.769165,532.230469,0.028310,-0.103318,0.315796,784.799316,-1056.294556,650.566711,-0.037136,-0.037460,0.072845,1010.409485,-1017.266296,646.088013,0.110365,-0.026579,0.022126,507.068817,-871.046692,552.934875,0.065729,-0.013166,0.031703,362.123230,-779.572327,227.074265
13,0,0.106843,-0.036027,-0.003012,343.156219,-846.745605,551.570129,-0.313932,0.083540,-0.216343,361.581573,-1056.856201,948.077637,0.595645,0.061164,-0.017080,-52.582062,-1046.121094,607.919067,0.147811,-0.028620,-0.029537,-281.771942,-1029.613770,592.871155,0.025477,-0.036902,0.070262,218.225983,-868.948608,531.849060,0.017428,-0.098153,0.312691,783.880798,-1057.809204,648.720154,-0.043768,-0.046293,0.080173,1009.332031,-1017.064453,645.774292,0.110609,-0.029130,0.020667,506.646637,-871.568970,552.534058,0.063327,-0.012845,0.030980,361.759308,-780.264832,226.585037
