Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.010508,-0.006814,-0.323406,-304.692657,-1468.076904,586.818176,-0.222796,0.006491,-0.257087,-336.083496,-1601.862671,931.557434,-0.991302,-0.765155,-1.333928,-496.345001,-1467.287231,367.724060,-0.829965,-0.886133,-1.550035,-473.572845,-1371.097046,136.722549,-0.079717,-0.045815,-0.415801,-425.748932,-1432.249756,566.361084,-0.942728,0.968768,0.836598,-71.674423,-1611.848267,392.469696,-0.562845,0.535169,1.522795,-66.963982,-1515.823608,134.898621,0.064114,0.025810,-0.269135,-148.366531,-1516.583496,587.710449,-0.030168,0.027699,-0.296263,-263.507568,-1407.620361,259.878265
2,0,0.020439,0.000756,-0.324396,-304.584320,-1467.999023,586.636597,-0.220575,0.003162,-0.260735,-335.933167,-1601.381226,931.576172,-1.003055,-0.757963,-1.337211,-496.772888,-1466.689331,367.842133,-0.830797,-0.886619,-1.552744,-473.430878,-1370.501953,137.119034,-0.081770,-0.046405,-0.417792,-425.748718,-1431.987915,566.327087,-0.940684,0.967877,0.832573,-71.587982,-1612.205688,392.441803,-0.565475,0.536396,1.519670,-67.049286,-1515.851807,135.293793,0.061903,0.026172,-0.267808,-148.441513,-1516.495239,587.681091,-0.030793,0.028031,-0.297598,-263.499603,-1407.568848,259.839417
3,0,0.042428,-0.011764,-0.307437,-304.533905,-1468.487793,585.732666,-0.224911,0.003802,-0.258036,-336.113098,-1601.124634,931.555115,-1.001455,-0.762182,-1.334292,-497.126587,-1466.345337,368.007660,-0.828434,-0.884741,-1.558298,-473.263885,-1369.850708,137.595322,-0.081160,-0.044879,-0.420584,-425.751038,-1431.750000,566.288269,-0.941365,0.968578,0.830258,-71.491402,-1612.638550,392.451263,-0.565115,0.533955,1.519627,-67.086304,-1515.929565,135.584305,0.060289,0.026544,-0.267770,-148.483749,-1516.471680,587.641174,-0.031139,0.028277,-0.297805,-263.519501,-1407.558960,259.787598
4,0,0.019544,0.001516,-0.324633,-304.621307,-1467.686157,586.546509,-0.223805,0.005851,-0.258180,-336.037872,-1600.745239,931.657227,-1.000571,-0.755491,-1.334799,-497.597137,-1466.015381,368.028809,-0.829216,-0.887145,-1.560224,-473.044922,-1369.138794,138.062790,-0.087496,-0.037783,-0.429914,-425.825134,-1431.382812,566.398499,-0.969432,0.950501,0.816751,-71.033951,-1613.556396,392.186737,-0.561399,0.528744,1.520374,-67.077141,-1516.050293,135.848480,0.057461,0.027179,-0.270136,-148.560425,-1516.466309,587.600769,-0.032890,0.029461,-0.300106,-263.489075,-1407.508301,259.772003
5,0,0.005193,-0.003346,-0.321769,-304.616302,-1467.487305,586.782166,-0.222172,0.007130,-0.260094,-335.981537,-1600.374268,931.695801,-1.001620,-0.750370,-1.336664,-498.048004,-1465.703857,368.128815,-0.809923,-0.870266,-1.575321,-472.748962,-1368.407715,138.627640,-0.083486,-0.043604,-0.421256,-425.684814,-1431.241699,566.278442,-0.969038,0.985998,0.818818,-70.814270,-1614.050659,392.669647,-0.557194,0.526129,1.520275,-67.095108,-1516.202515,136.124680,0.057937,0.026658,-0.270912,-148.591415,-1516.480713,587.544373,-0.047225,0.017387,-0.284297,-263.550598,-1407.280273,259.834167
6,0,0.004617,-0.003487,-0.323240,-304.611176,-1467.304321,586.736511,-0.222961,0.007808,-0.259881,-335.930328,-1599.966187,931.729553,-1.002179,-0.750293,-1.333650,-498.433624,-1465.253906,368.265869,-0.796213,-0.857875,-1.565820,-472.610474,-1367.255737,139.646317,-0.082626,-0.043714,-0.423038,-425.600220,-1430.929199,566.292725,-0.954790,0.953869,0.801854,-70.837570,-1614.516357,392.242950,-0.552755,0.522571,1.519106,-67.140762,-1516.421875,136.466614,0.055295,0.027206,-0.271112,-148.645599,-1516.538818,587.512939,-0.050727,0.016957,-0.285032,-263.546295,-1407.247192,259.824005
7,0,0.022022,-0.015752,-0.306135,-304.440063,-1467.779419,586.003235,-0.225116,0.010351,-0.253927,-335.993134,-1599.490234,931.907776,-1.022897,-0.715666,-1.341386,-499.423553,-1464.291260,368.270355,-0.804006,-0.883504,-1.569642,-472.162537,-1366.479126,139.868088,-0.088180,-0.036999,-0.431680,-425.624298,-1430.470581,566.404480,-0.965954,0.991854,0.808364,-70.576599,-1615.359985,392.728851,-0.549344,0.520763,1.515830,-67.234680,-1516.687988,136.977631,0.054671,0.027866,-0.273136,-148.674240,-1516.587036,587.458069,-0.069142,0.000172,-0.256859,-263.551422,-1408.086426,259.354675
8,0,0.019407,-0.015242,-0.308527,-304.426270,-1467.567871,586.004944,-0.218798,0.010986,-0.252178,-336.036835,-1599.015381,932.086182,-0.991030,-0.656548,-1.354923,-500.137817,-1463.886475,367.141907,-0.819545,-0.918283,-1.563939,-471.869598,-1365.172119,140.388000,-0.088802,-0.036675,-0.434954,-425.537567,-1430.086914,566.426514,-0.955295,1.012542,0.819380,-70.708519,-1615.957764,392.964111,-0.562653,0.524202,1.515386,-67.070473,-1516.839844,137.892166,0.051950,0.028227,-0.274699,-148.727173,-1516.666504,587.408386,-0.066105,-0.000248,-0.257941,-263.543213,-1408.200073,259.268677
9,0,0.019112,-0.014512,-0.311111,-304.381927,-1467.354492,585.987061,-0.222825,0.009807,-0.258904,-335.753204,-1598.549683,932.041992,-0.988352,-0.651044,-1.354707,-500.529175,-1463.535278,367.220184,-0.826041,-0.910301,-1.573786,-471.323303,-1364.140869,141.089508,-0.088564,-0.037056,-0.435494,-425.388214,-1429.685791,566.430420,-0.945356,1.000107,0.805396,-70.418243,-1616.962891,392.877014,-0.549262,0.514081,1.515985,-67.038490,-1517.177002,138.209671,0.051821,0.028870,-0.276027,-148.753143,-1516.744385,587.331604,-0.070945,-0.001903,-0.252213,-263.473572,-1408.253174,259.237640
