Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.157111,-0.115157,-0.237525,-260.220398,-1499.911255,592.161072,-0.418705,0.010222,-0.025827,-303.369843,-1629.805420,935.901611,-0.962083,-0.794941,-1.480520,-484.897491,-1471.948242,366.962524,0.178228,-1.354593,-1.553267,-388.028564,-1279.249634,213.393951,0.098216,-0.139537,-0.387918,-372.300293,-1449.558716,575.552124,-0.981298,1.337362,0.670726,-61.330692,-1783.994019,422.016449,3.204853,0.686873,0.537900,37.009556,-1607.418335,246.947098,-0.020118,0.023410,-0.284809,-107.093277,-1554.886475,603.214172,-0.048662,-0.078376,-0.506003,-181.328461,-1445.213379,266.494598
2,0,0.156444,-0.115052,-0.237198,-260.412903,-1499.692505,592.150818,-0.417811,0.009589,-0.027871,-303.580078,-1629.475464,935.903320,-0.949771,-0.814621,-1.491377,-485.126831,-1471.721313,367.320465,0.181397,-1.350741,-1.552633,-388.142914,-1279.142822,213.480820,0.095818,-0.138271,-0.390292,-372.493713,-1449.286621,575.513428,-0.981653,1.336761,0.666337,-61.485752,-1783.864136,422.104980,3.217620,0.662773,0.606464,36.834919,-1607.445801,246.101654,-0.039441,0.017394,-0.293369,-106.748825,-1555.041260,603.202637,-0.048676,-0.077183,-0.506763,-181.490784,-1445.052002,266.486694
3,0,0.154086,-0.118744,-0.242181,-260.681183,-1499.484619,592.201416,-0.420589,0.012594,-0.022213,-303.890137,-1629.129028,935.817505,-0.950900,-0.812989,-1.491474,-485.321320,-1471.597046,367.230743,0.182924,-1.349373,-1.552261,-388.249420,-1279.021729,213.565689,0.098252,-0.137456,-0.393075,-372.665771,-1449.050293,575.483215,-0.981164,1.335385,0.657212,-61.587601,-1783.788940,422.190430,3.217195,0.661929,0.606002,36.676559,-1607.326538,246.260315,-0.047856,0.039003,-0.288403,-107.212112,-1554.775879,603.390259,-0.047831,-0.078524,-0.505747,-181.680603,-1444.939087,266.442322
4,0,0.157222,-0.116568,-0.237621,-260.808014,-1499.222412,592.089294,-0.421962,0.012815,-0.020873,-304.200775,-1628.848999,935.815247,-0.952609,-0.812301,-1.491136,-485.528931,-1471.440796,367.150299,0.183123,-1.348671,-1.552345,-388.364410,-1278.883423,213.615784,0.097959,-0.136502,-0.392200,-372.823944,-1448.853516,575.447632,-0.991320,1.355360,0.695275,-62.454948,-1783.701416,422.253204,3.218049,0.662344,0.606509,36.557854,-1607.202637,246.370529,-0.034218,0.048949,-0.282211,-107.874619,-1554.282593,603.430725,-0.047971,-0.077482,-0.505605,-181.823975,-1444.816528,266.447662
5,0,0.156913,-0.117108,-0.238550,-261.043030,-1498.950439,592.084595,-0.423178,0.013130,-0.019387,-304.510895,-1628.573730,935.807190,-0.953605,-0.812706,-1.490465,-485.754364,-1471.234131,367.091614,0.182516,-1.350956,-1.554296,-388.471283,-1278.687622,213.665802,0.100214,-0.135392,-0.392993,-372.967468,-1448.632690,575.405090,-0.986660,1.354704,0.701168,-62.677773,-1783.470459,422.431305,3.217907,0.662119,0.605449,36.447880,-1607.034790,246.518417,-0.033406,0.048828,-0.282353,-108.100357,-1554.078491,603.414307,-0.049251,-0.077868,-0.506178,-182.019409,-1444.659424,266.411163
6,0,0.156930,-0.117310,-0.238107,-261.248810,-1498.723877,592.047241,-0.423903,0.013717,-0.018035,-304.848999,-1628.314819,935.814392,-0.963318,-0.800053,-1.482487,-485.977905,-1471.076416,366.774170,0.180895,-1.351752,-1.555043,-388.605865,-1278.472290,213.697128,0.099246,-0.137986,-0.390759,-373.256073,-1448.355225,575.348755,-0.985556,1.353656,0.701071,-62.816956,-1783.290405,422.570923,3.217579,0.660004,0.608562,36.292774,-1606.844604,246.628342,-0.033519,0.048817,-0.282737,-108.279785,-1553.894043,603.446045,-0.033645,-0.089310,-0.491726,-182.607391,-1444.840820,266.221191
7,0,0.158321,-0.118195,-0.237704,-261.466339,-1498.480103,591.994385,-0.424645,0.013803,-0.018559,-305.154785,-1628.037964,935.767029,-0.966520,-0.795785,-1.479038,-486.225983,-1470.868408,366.622620,0.180281,-1.352685,-1.557538,-388.753021,-1278.263672,213.701599,0.085904,-0.139163,-0.392913,-373.336365,-1448.086548,575.154602,-0.990012,1.352757,0.693151,-63.010490,-1783.107544,422.598663,-0.225775,0.568922,1.401222,39.728004,-1609.807007,246.206619,-0.035163,0.048983,-0.283119,-108.520546,-1553.667969,603.439697,-0.033338,-0.089260,-0.491275,-182.804138,-1444.660645,266.160217
8,0,0.157153,-0.117626,-0.238046,-261.707825,-1498.214478,591.982422,-0.421893,0.012712,-0.021573,-305.396515,-1627.638672,935.739319,-0.963858,-0.800552,-1.481097,-486.465851,-1470.644775,366.683685,0.178688,-1.355962,-1.559378,-388.887146,-1278.020630,213.681519,0.083788,-0.140640,-0.392589,-373.536743,-1447.831543,575.077698,-0.977038,1.344613,0.689632,-63.201248,-1782.631592,422.683807,-0.226837,0.569977,1.401726,39.604027,-1609.641479,246.384064,-0.032801,0.049350,-0.282771,-108.744690,-1553.463989,603.425903,-0.034176,-0.089463,-0.490780,-183.015396,-1444.495605,266.120361
9,0,0.156277,-0.117646,-0.238710,-261.966339,-1497.929565,591.970459,-0.418705,0.009231,-0.025621,-305.658020,-1627.357422,935.822876,-0.968137,-0.791013,-1.473668,-486.738770,-1470.412476,366.457428,0.179401,-1.355132,-1.559651,-388.991089,-1277.819702,213.669235,0.094484,-0.144734,-0.387249,-374.003967,-1447.495483,575.238220,-0.984260,1.337542,0.667686,-63.115387,-1782.560669,422.751434,-0.228261,0.571110,1.401860,39.490963,-1609.510132,246.580551,-0.034062,0.049214,-0.283287,-109.041847,-1553.167114,603.416016,-0.034903,-0.090173,-0.491159,-183.195053,-1444.299316,266.097473
10,0,0.165196,-0.121803,-0.233911,-262.134338,-1497.620117,591.830750,-0.421983,0.012384,-0.020012,-306.007019,-1626.990601,935.713440,-0.953273,-0.816340,-1.490970,-486.941589,-1470.094116,366.910339,0.181506,-1.355048,-1.557851,-389.078430,-1277.621216,213.644638,0.091089,-0.144298,-0.387222,-374.227051,-1447.128052,575.161377,-0.982909,1.338201,0.671375,-63.411316,-1782.312378,422.876709,-0.227523,0.570904,1.401045,39.340996,-1609.300171,246.703964,-0.032947,0.047937,-0.283105,-109.308022,-1552.851074,603.435181,-0.050892,-0.079186,-0.504791,-183.011444,-1443.775391,266.217682
