Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.061894,-0.004740,0.038514,-315.521881,-1606.231567,593.505920,-0.333881,-0.050107,-0.287303,-305.387756,-1729.923706,934.258545,-0.925109,-0.722621,-0.987075,-559.997375,-1667.863159,362.717377,,,,,,,-0.162417,-0.019585,-0.099203,-435.924500,-1612.309692,576.843567,0.359207,-0.550882,-1.902435,-5.010447,-1722.233887,373.690277,3.483676,1.773281,-0.603486,-25.412624,-1503.037720,197.278503,-0.212348,0.062690,0.147877,-153.177704,-1607.732178,591.685486,-0.108191,-0.071550,0.092456,-267.643616,-1560.018921,262.794769
2,0,-0.051588,-0.006023,0.040176,-315.336151,-1606.434937,593.244446,-0.335564,-0.048704,-0.285143,-305.155823,-1729.933472,934.201355,-0.923684,-0.721474,-0.986179,-560.217468,-1668.114014,362.917297,,,,,,,-0.162448,-0.018498,-0.100297,-435.777893,-1612.492432,576.784546,0.364839,-0.544779,-1.934709,-4.222561,-1722.982666,373.747253,3.540269,1.757599,-0.545173,-26.245356,-1502.758057,196.556976,-0.212845,0.064287,0.148964,-152.959885,-1607.834229,591.617615,-0.113532,-0.077009,0.101418,-267.549042,-1560.583618,262.560577
3,0,-0.030598,-0.009719,0.066209,-314.572479,-1607.342529,592.622131,-0.331058,-0.048187,-0.283662,-305.009918,-1729.977905,934.267212,-0.923104,-0.721372,-0.987314,-560.407959,-1668.383301,363.050720,,,,,,,-0.163300,-0.018742,-0.099636,-435.611542,-1612.692017,576.751526,0.360311,-0.543711,-1.908224,-3.494385,-1722.814209,373.708649,3.539890,1.763415,-0.544317,-26.235744,-1502.728027,196.933655,-0.217616,0.064493,0.149276,-152.795578,-1607.956909,591.517822,-0.110916,-0.074680,0.098377,-267.519226,-1560.975952,262.461273
4,0,-0.030181,-0.009756,0.064555,-314.451630,-1607.475830,592.517395,-0.335136,-0.046346,-0.280497,-304.972992,-1730.127441,934.231995,-0.923566,-0.720789,-0.986899,-560.620850,-1668.665649,363.201263,0.018208,-1.391190,-0.853319,-571.410522,-1491.251587,161.447556,-0.160418,-0.024028,-0.103184,-435.405945,-1612.774048,576.619324,-0.885621,0.645097,0.823079,-31.906042,-1711.315308,357.940857,0.295884,1.262892,0.697138,-22.795294,-1505.607666,195.622131,-0.215991,0.060923,0.147511,-152.642761,-1608.096313,591.374329,-0.111159,-0.073343,0.095598,-267.471619,-1561.272827,262.369293
5,0,-0.031584,-0.010464,0.063991,-314.293793,-1607.633667,592.458130,-0.335243,-0.046196,-0.280319,-304.705170,-1730.142944,934.255920,-0.906254,-0.721232,-0.980224,-561.242798,-1668.827637,363.777924,0.023907,-1.394231,-0.860066,-571.461487,-1490.948486,161.875229,-0.160241,-0.022792,-0.104174,-435.260345,-1612.953125,576.602295,-0.798121,0.635002,0.760266,-30.569592,-1709.765381,358.012146,0.294140,1.265124,0.702916,-22.691038,-1505.484619,196.034775,-0.216715,0.061458,0.149849,-152.485092,-1608.253296,591.271912,-0.108978,-0.070302,0.091323,-267.403564,-1561.500610,262.363007
6,0,-0.029418,-0.009695,0.065360,-314.105896,-1607.810669,592.393188,-0.341076,-0.047567,-0.278064,-304.581940,-1730.211670,934.126404,-0.906894,-0.719164,-0.976879,-561.447571,-1669.220093,363.886505,0.032717,-1.394139,-0.857674,-571.420471,-1491.064697,162.218262,-0.162734,-0.022705,-0.103697,-435.098114,-1613.119507,576.622925,-0.792435,0.627964,0.762264,-29.925287,-1710.073975,358.362305,0.303731,1.263547,0.704376,-22.786715,-1505.272217,196.328186,-0.212409,0.058791,0.150148,-152.310059,-1608.399414,591.162537,-0.109846,-0.070898,0.088437,-267.325500,-1561.880493,262.316284
7,0,-0.034683,-0.009265,0.065834,-313.938690,-1608.050781,592.464417,-0.339470,-0.047323,-0.281150,-304.219757,-1730.306763,934.217163,-0.908885,-0.717656,-0.975083,-561.663391,-1669.663330,363.960114,0.034436,-1.400489,-0.859047,-571.445251,-1491.213745,162.492462,-0.168037,-0.016216,-0.100554,-434.916565,-1613.419189,576.717041,-0.804221,0.625460,0.778572,-29.630545,-1710.475830,358.387939,0.262570,1.273727,0.709144,-21.949230,-1505.464478,198.014114,-0.214539,0.061764,0.151147,-152.153519,-1608.576294,591.155334,-0.110221,-0.071309,0.088594,-267.235046,-1562.246338,262.257904
8,0,-0.024250,-0.006907,0.059476,-313.859802,-1608.019165,592.336365,-0.340312,-0.047273,-0.281181,-303.955444,-1730.397217,934.266724,-0.926147,-0.712903,-0.977986,-561.472473,-1670.333740,363.603363,0.037066,-1.407257,-0.860116,-571.563660,-1491.396118,162.961121,-0.169483,-0.017234,-0.099324,-434.754425,-1613.642944,576.729309,-0.797562,0.629041,0.755961,-28.441984,-1710.489868,358.616669,0.299940,1.270556,0.712818,-22.371134,-1505.345947,197.459427,-0.212825,0.061226,0.151183,-152.036530,-1608.771118,591.098877,-0.110083,-0.070529,0.088502,-267.147522,-1562.613037,262.238068
9,0,-0.035964,-0.006929,0.066553,-313.609802,-1608.537476,592.459045,-0.334089,-0.045424,-0.281986,-303.559052,-1730.502686,934.494934,-0.926578,-0.712249,-0.977386,-561.645813,-1670.793091,363.701996,0.042834,-1.408747,-0.854654,-571.569580,-1491.605103,163.365814,-0.171243,-0.018699,-0.098655,-434.578400,-1613.861450,576.725098,-0.796482,0.627030,0.759399,-27.904982,-1710.742920,358.829132,0.305605,1.267703,0.706559,-22.519367,-1505.236938,197.880173,-0.210549,0.064255,0.152734,-151.868149,-1608.996094,591.083252,-0.109022,-0.069733,0.088505,-267.030029,-1562.979858,262.193695
