Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.115560,-0.038392,0.130453,-265.487915,-1461.155151,619.320557,-0.098654,-0.023281,0.134046,-262.135925,-1667.694580,923.137878,0.186564,-0.126602,-0.260167,-643.574158,-1574.454590,609.581909,-0.039374,-0.111241,-0.113104,-913.062195,-1519.108398,609.729736,0.135384,-0.064858,0.159551,-389.978394,-1469.381592,611.157715,-0.045849,0.083329,0.330766,136.549393,-1584.727295,593.949097,-0.360482,0.013777,0.429269,389.034790,-1517.192627,612.859497,-0.009646,0.054869,0.059488,-103.463074,-1463.385498,619.784973,0.046521,-0.034217,-0.065130,-234.066925,-1386.799683,290.518036
2,0,0.116273,-0.038544,0.130414,-265.357880,-1461.137817,619.299622,-0.099240,-0.023211,0.140426,-261.357330,-1667.750244,923.152649,0.186606,-0.127016,-0.260798,-643.424133,-1574.561279,609.641113,-0.036928,-0.102401,-0.105987,-912.779663,-1519.411499,609.810852,0.137114,-0.064540,0.160709,-389.832245,-1469.412109,611.176514,-0.045679,0.084399,0.330589,136.703217,-1584.707031,593.808533,-0.359205,0.017869,0.430125,389.241089,-1517.304932,612.700012,-0.015004,0.056447,0.058426,-103.390541,-1463.314331,619.817383,0.046962,-0.034658,-0.064053,-233.991776,-1386.787354,290.473938
3,0,0.116908,-0.038833,0.131041,-265.248474,-1461.113159,619.278503,-0.098099,-0.024507,0.144441,-260.602509,-1667.775391,923.213562,0.187469,-0.126684,-0.261083,-643.248901,-1574.754761,609.712708,-0.036611,-0.099700,-0.106255,-912.635498,-1519.743408,609.843689,0.137227,-0.064556,0.162013,-389.690094,-1469.473633,611.145508,-0.046105,0.084716,0.329968,136.862122,-1584.735596,593.707703,-0.360839,0.014983,0.428752,389.361969,-1517.300781,612.401978,-0.009502,0.054970,0.060322,-103.206352,-1463.173218,619.723938,0.046442,-0.035040,-0.062707,-233.909607,-1386.766968,290.446503
4,0,0.116985,-0.038834,0.131911,-265.156525,-1461.086182,619.261536,-0.099055,-0.024176,0.150144,-259.966522,-1667.772339,923.229187,0.187078,-0.127252,-0.261977,-643.087585,-1574.886963,609.714111,-0.037399,-0.104897,-0.106306,-912.575195,-1520.066406,609.960693,0.136074,-0.065707,0.165090,-389.574768,-1469.538696,611.137390,-0.047750,0.084449,0.328940,137.021011,-1584.810181,593.655396,-0.358492,0.014960,0.429252,389.453125,-1517.413696,612.167297,-0.008918,0.055778,0.060805,-103.127068,-1463.062988,619.705200,0.047295,-0.035138,-0.062968,-233.845734,-1386.752808,290.445007
5,0,0.116481,-0.038945,0.132339,-265.071198,-1461.068604,619.273438,-0.098338,-0.023545,0.154578,-259.341919,-1667.781494,923.326965,0.186655,-0.126667,-0.259968,-642.980774,-1574.997070,609.698975,-0.038003,-0.106946,-0.107612,-912.515930,-1520.357422,610.001709,0.137694,-0.066783,0.165438,-389.464935,-1469.554688,611.087585,-0.047888,0.084518,0.328541,137.145370,-1584.878052,593.620178,-0.359543,0.016562,0.430565,389.719269,-1517.591553,612.134766,-0.015749,0.056799,0.059711,-103.120338,-1463.005493,619.767517,0.046621,-0.034946,-0.061876,-233.782913,-1386.721680,290.439636
6,0,0.116668,-0.038859,0.133117,-264.994965,-1461.049561,619.256531,-0.104613,-0.025482,0.155212,-258.582306,-1667.867920,923.295349,0.186295,-0.126873,-0.259049,-642.884460,-1575.112183,609.672729,-0.039642,-0.109807,-0.108831,-912.462463,-1520.626099,610.061340,0.140252,-0.066331,0.161971,-389.399445,-1469.543579,611.089661,-0.047748,0.084847,0.328668,137.241486,-1584.965210,593.610046,-0.359115,0.016284,0.431571,389.950378,-1517.693481,612.074280,-0.007664,0.055436,0.062935,-102.959793,-1462.859009,619.712524,0.047781,-0.034696,-0.061411,-233.702087,-1386.699951,290.427643
7,0,0.116661,-0.038801,0.132562,-264.942352,-1461.031128,619.240540,-0.105454,-0.025818,0.157531,-258.039276,-1667.840942,923.364075,0.185319,-0.127620,-0.258394,-642.808350,-1575.206665,609.650024,-0.039192,-0.109281,-0.108557,-912.373474,-1520.876587,610.051819,0.138889,-0.066543,0.162427,-389.317200,-1469.592651,611.074768,-0.047784,0.085264,0.327656,137.352951,-1585.049316,593.565308,-0.356736,0.016123,0.430495,390.049500,-1517.785522,611.971313,-0.014993,0.056446,0.062250,-102.981377,-1462.812500,619.780334,0.047742,-0.035522,-0.061240,-233.627411,-1386.673584,290.433746
8,0,0.119177,-0.038383,0.133228,-264.854431,-1461.025024,619.218079,-0.104576,-0.025200,0.161718,-257.541016,-1667.822021,923.467041,0.185373,-0.127869,-0.259117,-642.694275,-1575.348389,609.627380,-0.039439,-0.108933,-0.107352,-912.275940,-1521.085083,610.012756,0.138465,-0.066354,0.164979,-389.231812,-1469.649780,611.061096,-0.047261,0.085286,0.328572,137.427643,-1585.116455,593.531921,-0.355693,0.017085,0.430371,390.169250,-1517.949341,611.933167,-0.014163,0.056469,0.062259,-102.936539,-1462.756348,619.800720,0.047663,-0.035707,-0.060911,-233.578705,-1386.648438,290.417053
9,0,0.118258,-0.038940,0.133861,-264.789642,-1461.029541,619.205688,-0.097918,-0.023818,0.161518,-257.037323,-1667.630005,923.635376,0.184769,-0.127966,-0.258799,-642.600525,-1575.460449,609.574402,-0.039108,-0.109331,-0.106808,-912.201904,-1521.304443,609.933472,0.139725,-0.065401,0.160799,-389.200684,-1469.634277,611.049683,-0.046264,0.086201,0.329041,137.489014,-1585.172607,593.507629,-0.355180,0.013957,0.426915,390.264160,-1518.089600,611.814941,-0.013481,0.055830,0.062753,-102.859428,-1462.713135,619.806519,0.047240,-0.035885,-0.060943,-233.498413,-1386.629517,290.412537
