Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.136551,-0.069193,0.172344,-275.554565,-1459.587524,596.983154,-0.057240,-0.022847,0.156690,-271.172424,-1661.791504,910.805237,-0.696969,-1.216118,-0.927606,-501.899414,-1597.815308,357.157104,-0.427080,-1.329444,-0.795461,-536.586304,-1503.007446,122.126610,0.138009,-0.112449,0.061022,-398.995148,-1457.705200,583.873779,-0.673529,1.195130,0.760235,-22.688313,-1644.344727,361.057068,2.708874,0.828353,0.075157,21.432871,-1517.417114,145.094818,-0.120276,0.053426,0.080091,-111.578110,-1453.111938,602.350586,-0.022381,-0.075783,-0.107052,-231.151993,-1389.395996,268.132782
2,0,0.135830,-0.069591,0.172883,-275.588928,-1459.444214,596.986328,-0.064976,-0.024453,0.157664,-271.032074,-1661.735840,910.661194,-0.696805,-1.216064,-0.926987,-501.929749,-1597.774414,357.192017,-0.427947,-1.329370,-0.795134,-536.692139,-1502.998535,122.194046,0.143793,-0.109836,0.060805,-398.954193,-1457.605225,583.909912,-0.674193,1.194458,0.759473,-22.702206,-1644.186646,361.081268,2.709150,0.827233,0.074209,21.332386,-1517.390869,145.113174,-0.124558,0.049676,0.072547,-112.043098,-1453.130127,602.393860,-0.023189,-0.075901,-0.106637,-231.210159,-1389.306030,268.132782
3,0,0.134456,-0.069513,0.173794,-275.631836,-1459.286987,597.016357,-0.068123,-0.024002,0.162868,-271.015411,-1661.439331,910.675720,-0.695518,-1.216047,-0.927031,-501.939606,-1597.741699,357.249878,-0.427192,-1.329958,-0.795273,-536.802124,-1502.990967,122.199898,0.143166,-0.109256,0.060534,-398.988617,-1457.493896,583.923645,-0.675561,1.194032,0.759240,-22.716078,-1644.024902,361.137909,2.709044,0.828119,0.073127,21.315887,-1517.261108,145.086655,-0.124220,0.050317,0.073331,-112.081993,-1452.899902,602.382507,-0.024809,-0.075120,-0.104781,-231.274612,-1389.199829,268.103912
4,0,0.136402,-0.068685,0.174048,-275.676147,-1459.125000,596.959717,-0.067713,-0.024498,0.161577,-270.930420,-1661.199341,910.754028,-0.695352,-1.215996,-0.926305,-501.950439,-1597.721558,357.272705,-0.427814,-1.329364,-0.794660,-536.899719,-1502.999756,122.244598,0.143512,-0.109537,0.060724,-399.059021,-1457.373047,583.913696,-0.667046,1.190972,0.758066,-22.674988,-1643.689453,361.189148,2.708278,0.827081,0.072531,21.193790,-1517.196899,145.121582,-0.189119,0.058147,0.067039,-111.774139,-1452.127930,603.015869,-0.024124,-0.075654,-0.104720,-231.345154,-1389.104858,268.094513
5,0,0.134380,-0.070082,0.171492,-275.813782,-1458.850708,596.960876,-0.068745,-0.025079,0.160607,-270.845703,-1660.911987,910.810608,-0.695735,-1.215888,-0.925773,-501.940247,-1597.704224,357.280334,-0.427800,-1.328740,-0.794067,-536.984009,-1503.010376,122.269814,0.142085,-0.109687,0.061585,-399.088593,-1457.261108,583.908081,-0.668092,1.190915,0.758427,-22.677340,-1643.481689,361.240356,2.710254,0.825664,0.075023,21.078756,-1517.074951,145.045700,-0.183407,0.062043,0.055041,-112.182312,-1452.267944,602.902283,-0.029780,-0.083583,-0.093988,-231.423813,-1389.295776,267.788483
6,0,0.138524,-0.069149,0.173506,-275.736115,-1458.682373,596.891785,-0.074340,-0.026905,0.157372,-270.591461,-1660.758179,910.806580,-0.695367,-1.216343,-0.925750,-501.907776,-1597.677734,357.300476,-0.427612,-1.330270,-0.793138,-537.071350,-1503.023315,122.263733,0.141442,-0.109390,0.062403,-399.141846,-1457.147949,583.905884,-0.669853,1.191736,0.758802,-22.674494,-1643.272583,361.276459,2.709910,0.825958,0.073914,21.074795,-1516.859863,145.039078,-0.126197,0.050389,0.075904,-112.199852,-1452.066284,602.352417,-0.028880,-0.084710,-0.094565,-231.494644,-1389.148193,267.796509
7,0,0.139184,-0.069301,0.173125,-275.801300,-1458.499512,596.885010,-0.073241,-0.024956,0.154178,-270.484833,-1660.484985,910.904114,-0.694602,-1.216263,-0.925427,-501.876221,-1597.663574,357.335785,-0.428074,-1.330108,-0.792771,-537.128967,-1503.038330,122.286583,0.141608,-0.109445,0.062619,-399.226013,-1456.979248,583.923279,-0.669817,1.191778,0.758550,-22.623192,-1643.010132,361.313812,2.708444,0.832630,0.067646,21.054491,-1516.707520,145.176895,-0.125450,0.051946,0.075817,-112.309875,-1451.788940,602.331482,-0.029712,-0.084682,-0.092423,-231.588684,-1389.001831,267.762817
8,0,0.138039,-0.069297,0.173287,-275.843353,-1458.295654,596.887451,-0.073793,-0.024990,0.154222,-270.422821,-1660.192383,910.974731,-0.694175,-1.216664,-0.925022,-501.826630,-1597.649536,357.373627,-0.427440,-1.330456,-0.792400,-537.188904,-1503.080200,122.311432,0.141217,-0.109434,0.063951,-399.237701,-1456.899902,583.924683,-0.668298,1.191738,0.758784,-22.551287,-1642.749390,361.378357,2.711652,0.830136,0.075617,20.966055,-1516.504272,145.056351,-0.129461,0.049592,0.083529,-112.390945,-1451.531494,602.274292,-0.028336,-0.085750,-0.093438,-231.686264,-1388.853271,267.734894
9,0,0.138735,-0.069709,0.173552,-275.876099,-1458.077515,596.848450,-0.075786,-0.026268,0.159345,-270.395081,-1659.872559,911.049377,-0.693416,-1.217158,-0.924958,-501.756714,-1597.652954,357.423035,-0.427077,-1.331171,-0.791008,-537.190125,-1503.120361,122.322090,0.149938,-0.107967,0.063749,-399.298950,-1456.837891,583.971741,-0.680843,1.211661,0.770858,-22.811281,-1642.786377,361.637909,2.716108,0.826421,0.084259,20.885563,-1516.264160,144.932541,-0.123773,0.050670,0.077703,-112.325363,-1451.161011,602.322327,-0.028868,-0.085235,-0.092642,-231.819626,-1388.710571,267.703613
