Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.060529,-0.109473,0.045238,-328.695557,-1496.298218,537.621521,-0.133585,-0.015214,0.021768,-337.746796,-1684.516479,912.991516,-0.933610,-1.057432,-1.019357,-555.784546,-1635.167480,359.407166,-0.632595,-1.239939,-0.928922,-576.296021,-1551.252686,117.679779,-0.173806,-0.199612,0.377858,-456.068542,-1505.695435,513.250977,0.139863,-0.629249,-0.943504,-33.097523,-1701.650146,414.798584,-0.415019,1.131510,1.122236,-13.734972,-1629.088867,152.332397,-0.124807,-0.008977,0.162101,-171.993469,-1501.804810,550.095886,0.022268,-0.080847,-0.167649,-274.300354,-1443.658813,211.743027
2,0,0.060848,-0.113003,0.041467,-328.865509,-1495.681763,537.459290,-0.134841,-0.014164,0.016501,-338.833466,-1683.271973,913.115173,-0.934089,-1.059216,-1.023888,-556.125061,-1633.883789,359.167816,-0.643182,-1.267589,-0.926548,-576.012817,-1549.942871,116.964172,-0.177535,-0.199946,0.376282,-456.161530,-1504.695557,512.926941,0.147894,-0.616801,-0.959361,-33.634369,-1702.710449,415.285492,-0.412010,1.135086,1.115536,-13.354575,-1630.323730,153.110641,-0.125997,-0.010804,0.160606,-172.183670,-1501.586304,550.356445,0.020467,-0.081309,-0.170102,-273.574707,-1443.733765,211.739090
3,0,0.062652,-0.114887,0.039286,-328.970154,-1495.077393,537.292786,-0.135132,-0.012919,0.011816,-339.948547,-1682.001099,913.343811,-0.936804,-1.061474,-1.028535,-556.464417,-1632.581787,358.883087,-0.635335,-1.257604,-0.928754,-575.883423,-1548.916626,116.844887,-0.181161,-0.202595,0.374831,-456.199829,-1503.600952,512.574890,0.150281,-0.606591,-0.975139,-34.291908,-1703.702148,415.778107,-0.404325,1.136967,1.107350,-12.856153,-1631.462524,154.048004,-0.156981,-0.026981,0.170164,-172.301437,-1500.960449,550.976074,0.011941,-0.078516,-0.163436,-272.940857,-1444.108032,211.718674
4,0,0.054827,-0.116317,0.035097,-329.066101,-1494.372070,537.291748,-0.136892,-0.010702,0.006919,-341.000061,-1680.625488,913.431335,-0.938304,-1.058780,-1.028585,-556.752502,-1631.321289,358.539703,-0.635788,-1.258830,-0.930846,-575.674866,-1547.561523,116.601006,-0.181844,-0.204829,0.370587,-456.259918,-1502.537964,512.222473,-1.139801,1.166640,1.308227,-67.147926,-1709.996582,403.498474,-0.406452,1.130893,1.099112,-12.502299,-1632.660400,154.757004,-0.134362,-0.015172,0.151772,-172.488220,-1501.105713,550.863098,0.010190,-0.081671,-0.168767,-272.096222,-1444.274170,211.614670
5,0,0.051247,-0.117237,0.031042,-329.109406,-1493.549316,537.214355,-0.140356,-0.009070,0.001068,-342.032471,-1679.152100,913.537354,-0.942396,-1.055338,-1.027758,-557.053955,-1630.024658,358.145355,-0.640244,-1.266320,-0.932633,-575.275146,-1546.113403,116.062042,-0.186267,-0.205289,0.366893,-456.284088,-1501.350464,511.833313,-1.142758,1.171764,1.303383,-67.750893,-1710.784912,404.353668,-0.398003,1.137092,1.092655,-11.954970,-1633.814697,155.753754,-0.137876,-0.017243,0.149449,-172.596054,-1500.870239,551.076721,0.015178,-0.089379,-0.178467,-271.130371,-1444.250732,211.409668
6,0,0.054239,-0.119767,0.028137,-329.067657,-1492.846680,536.938354,-0.139861,-0.008529,-0.005179,-343.085938,-1677.689331,913.716187,-0.942448,-1.057464,-1.032174,-557.433411,-1628.593506,357.849365,-0.645618,-1.273392,-0.932228,-575.054199,-1544.846558,115.574989,-0.189770,-0.206004,0.363113,-456.212311,-1500.132446,511.411255,-1.099029,1.141819,1.261379,-68.448425,-1710.429443,404.487122,-0.399612,1.161987,1.097105,-11.065768,-1635.106201,157.091003,-0.158191,-0.029302,0.159638,-172.383453,-1500.276001,551.620239,0.011100,-0.091509,-0.181285,-270.222656,-1444.389404,211.298569
7,0,0.047574,-0.122073,0.025653,-328.962158,-1492.072998,536.843262,-0.147615,-0.001954,-0.002881,-344.444153,-1676.308105,913.820740,-0.944602,-1.059792,-1.035955,-557.786377,-1627.175537,357.547913,-0.636824,-1.265614,-0.932332,-575.096375,-1543.802124,115.347916,-0.196886,-0.203386,0.334249,-456.158142,-1498.662842,510.990265,-1.077292,1.171192,1.295358,-69.270119,-1711.043579,405.821350,-0.391986,1.134102,1.075841,-11.147722,-1636.182251,157.441498,-0.159698,-0.030644,0.152759,-172.391205,-1500.131592,551.701965,0.007749,-0.096777,-0.183746,-269.204529,-1444.605957,211.146637
8,0,0.057823,-0.120348,0.012180,-328.918213,-1490.996704,536.520203,-0.150071,0.000656,-0.008369,-345.438110,-1674.664551,913.798218,-0.946168,-1.060438,-1.037356,-558.137573,-1625.607300,357.202728,-0.639814,-1.268848,-0.933521,-574.716370,-1542.472656,114.672127,-0.193887,-0.211134,0.357955,-455.909027,-1497.541748,510.491974,-1.092646,1.178644,1.281345,-69.725357,-1711.863037,406.805084,-0.389030,1.135132,1.068674,-10.631371,-1637.284668,158.285248,-0.151756,-0.021373,0.135932,-172.476974,-1500.359497,551.482056,0.006816,-0.095372,-0.189026,-268.091461,-1444.853394,210.898560
9,0,0.043107,-0.126739,0.015438,-328.549896,-1490.355347,536.237915,-0.148914,0.000388,-0.016415,-346.416260,-1673.005493,913.865784,-0.947965,-1.063542,-1.040481,-558.438232,-1624.065308,356.835144,-0.635669,-1.271174,-0.932777,-574.649475,-1541.302002,114.317184,-0.197376,-0.211590,0.352564,-455.603912,-1496.119263,509.970612,-1.093527,1.173218,1.268010,-70.153648,-1712.347656,407.402069,-0.387228,1.161070,1.070019,-9.777041,-1638.515869,159.727615,-0.155737,-0.020573,0.130322,-172.309158,-1500.253174,551.508972,0.002601,-0.098251,-0.189883,-266.905182,-1445.095337,210.613846
10,0,0.039818,-0.126942,0.009184,-328.236755,-1489.479248,535.823486,-0.146201,0.000087,-0.019592,-347.468262,-1671.262939,913.853882,-0.948961,-1.064566,-1.043441,-558.782654,-1622.457764,356.383820,-0.644592,-1.280814,-0.934648,-574.210632,-1539.792480,113.483910,-0.202352,-0.212107,0.346064,-455.262299,-1494.628784,509.334686,-1.090122,1.182692,1.263519,-70.635246,-1712.889893,408.349792,-0.378570,1.135985,1.052994,-9.697533,-1639.494263,159.975708,-0.159564,-0.023406,0.124030,-172.096176,-1500.169312,551.391113,-0.000639,-0.101367,-0.195961,-265.703674,-1445.376709,210.251801
11,0,0.035824,-0.129981,0.004324,-327.784882,-1488.542236,535.368286,-0.146861,-0.004120,-0.032643,-347.897125,-1669.119629,913.434265,-0.953446,-1.063864,-1.044247,-559.033691,-1620.760376,355.849457,-0.635707,-1.267267,-0.936247,-574.095764,-1538.643677,113.071922,-0.203440,-0.211660,0.339465,-454.815125,-1493.043945,508.631592,-1.092361,1.192186,1.262884,-71.106583,-1713.403198,409.117157,-0.378667,1.132049,1.044755,-9.201620,-1640.452026,160.754318,-0.163609,-0.022416,0.118340,-171.762695,-1500.084717,551.240417,-0.002866,-0.102769,-0.198816,-264.444031,-1445.687378,209.746033
12,0,0.030686,-0.132426,-0.000006,-327.185791,-1487.658936,534.817383,-0.147364,-0.005399,-0.038555,-348.717133,-1667.162231,913.186523,-0.956618,-1.065088,-1.046080,-559.243835,-1618.936157,355.340912,-0.641641,-1.278615,-0.937179,-573.833496,-1537.291748,112.190620,-0.208569,-0.209025,0.332537,-454.215515,-1491.389038,507.905945,-1.086286,1.183769,1.250762,-71.395950,-1713.819214,409.513519,-0.370157,1.139795,1.043967,-8.530737,-1641.424316,161.605423,-0.168530,-0.026350,0.111453,-171.361603,-1500.029419,551.004333,-0.002566,-0.105601,-0.206703,-263.007690,-1445.953735,209.239990
13,0,0.028224,-0.133836,-0.007476,-326.568420,-1486.637329,534.189819,-0.150538,-0.004774,-0.040854,-349.734955,-1665.234009,912.932617,-0.961699,-1.064264,-1.048574,-559.447632,-1617.089355,354.696747,-0.640736,-1.276030,-0.938222,-573.493225,-1535.924561,111.389687,-0.177516,-0.188223,0.320109,-453.925903,-1489.596802,506.775085,-1.082296,1.185417,1.243338,-71.681107,-1714.267578,410.112579,-0.375370,1.131085,1.034498,-8.116732,-1642.212158,162.091812,-0.178539,-0.023752,0.112578,-170.404175,-1499.759644,550.780518,-0.009665,-0.107147,-0.210352,-261.507263,-1446.231445,208.641403
14,0,0.022259,-0.135198,-0.015337,-325.821045,-1485.613403,533.549988,-0.134572,-0.018421,-0.038041,-350.532257,-1663.098511,912.681091,-0.966539,-1.061874,-1.049139,-559.577209,-1615.052856,354.006653,-0.642273,-1.273355,-0.941749,-573.194580,-1534.514160,110.474068,-0.171160,-0.179517,0.307404,-453.250916,-1487.765991,505.813293,-1.072963,1.192901,1.241399,-71.965836,-1714.567017,410.659363,-0.372611,1.160229,1.043386,-6.725562,-1643.150269,163.370895,-0.183033,-0.019897,0.109266,-169.601776,-1499.693970,550.420959,-0.009708,-0.108356,-0.216858,-259.802368,-1446.480957,207.990921
15,0,0.024320,-0.138516,-0.020400,-324.877350,-1484.686401,532.765991,-0.142206,-0.020231,-0.045465,-351.154022,-1660.645142,912.038452,-0.972548,-1.062488,-1.053731,-559.628357,-1612.958252,353.352875,-0.647658,-1.278810,-0.938731,-572.782349,-1532.954712,109.513535,-0.194788,-0.210267,0.297689,-451.826141,-1485.895630,505.207306,-1.064471,1.189531,1.248647,-72.175003,-1714.846069,410.881226,-0.372797,1.158324,1.038309,-6.036995,-1643.930908,163.786774,-0.187333,-0.028640,0.094828,-169.361069,-1499.874756,550.088501,-0.014896,-0.110766,-0.221069,-258.055786,-1446.698730,207.309296
16,0,0.015245,-0.139295,-0.027620,-323.791290,-1483.555786,532.217163,-0.156385,-0.016303,-0.059402,-351.837067,-1658.146606,911.599060,-0.976550,-1.045215,-1.050826,-559.519165,-1611.047485,352.411407,-0.649701,-1.280657,-0.942209,-572.399170,-1531.475464,108.518272,-0.225039,-0.209780,0.289970,-450.716156,-1484.235596,504.251587,-1.074308,1.198770,1.234047,-72.202972,-1715.341919,411.368958,-0.376004,1.129121,1.022001,-5.754548,-1644.551270,163.636078,-0.174461,-0.029723,0.097802,-168.325882,-1499.874146,549.824036,-0.017061,-0.115100,-0.227794,-256.095276,-1446.833130,206.693405
