Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.187650,-0.054828,0.178634,-280.337494,-1495.277344,593.174622,-0.051665,-0.032278,0.233407,-257.259674,-1691.766846,911.175964,-0.861500,-1.303065,-0.930501,-490.386932,-1639.969971,375.760895,-0.553910,-1.133787,-1.085635,-507.548462,-1534.554565,136.421127,0.105252,-0.129536,0.154105,-403.377014,-1503.130005,579.724182,-0.892988,1.240544,1.029306,-16.643669,-1655.933838,393.074677,-0.782630,1.222209,1.381774,8.453219,-1549.520264,137.401321,-0.195083,0.096427,0.089010,-118.517128,-1478.813477,601.683533,-0.020115,-0.064187,-0.059064,-236.189423,-1424.663818,264.211304
2,0,0.188140,-0.053851,0.179092,-280.277496,-1494.919800,593.092896,-0.053791,-0.030543,0.233057,-257.028229,-1691.124146,911.190247,-0.861395,-1.303754,-0.926374,-490.099976,-1640.029419,375.835449,-0.569538,-1.174536,-1.073604,-507.654724,-1535.080811,136.018936,0.104990,-0.130320,0.154762,-403.273010,-1502.897217,579.681274,-0.863860,1.229655,1.029878,-15.949349,-1655.538940,393.652649,-0.774346,1.190611,1.368850,8.005791,-1549.564819,136.817123,-0.237969,0.041255,0.149969,-118.174217,-1477.351685,602.232483,-0.037484,-0.091116,-0.029159,-236.021805,-1425.394775,263.428619
3,0,0.184497,-0.053990,0.182165,-280.150909,-1494.565308,593.065491,-0.055123,-0.030606,0.233074,-256.745239,-1690.350708,911.183838,-0.862678,-1.302227,-0.924808,-489.685913,-1640.220703,375.813629,-0.568765,-1.176241,-1.070465,-507.633759,-1535.410767,136.068542,0.101417,-0.130686,0.155257,-403.179718,-1502.631714,579.599243,-0.850352,1.224466,1.030356,-15.448549,-1655.155884,394.093933,-0.776777,1.175534,1.364846,8.041497,-1549.364502,136.567184,-0.167660,0.068825,0.128323,-117.812531,-1477.925903,600.827332,-0.039456,-0.092592,-0.028170,-236.020279,-1425.294067,263.302948
4,0,0.082979,-0.084609,0.223741,-279.010345,-1495.391235,594.133850,-0.054462,-0.030891,0.233213,-256.408997,-1689.527222,911.155273,-0.860119,-1.307863,-0.923439,-489.421631,-1640.229248,375.917816,-0.560270,-1.147564,-1.074743,-507.531403,-1535.386597,136.467270,0.102670,-0.130982,0.155152,-403.123291,-1502.348267,579.519287,-0.904142,1.233874,1.020411,-15.457726,-1655.063354,393.470642,-0.774394,1.212259,1.378187,8.719959,-1548.853638,136.988220,-0.041858,0.063796,0.179357,-117.074501,-1477.340454,600.004272,-0.039720,-0.090597,-0.028438,-236.039581,-1425.202271,263.139740
5,0,0.095956,-0.089027,0.230722,-278.976990,-1494.957031,593.877930,-0.055675,-0.028910,0.234065,-256.125977,-1688.704346,911.129944,-0.857692,-1.312460,-0.923587,-489.067719,-1640.312256,375.958313,-0.561236,-1.180307,-1.057925,-507.690491,-1536.154541,136.040833,0.102913,-0.130669,0.152552,-402.993835,-1502.031494,579.384583,-0.908029,1.235227,1.023135,-15.237761,-1654.835205,393.452667,-0.737430,1.203303,1.380492,8.298977,-1548.908569,135.921616,-0.034825,0.066632,0.171073,-117.105194,-1477.039062,599.594116,-0.034265,-0.085017,-0.036830,-235.816833,-1425.285156,263.060638
6,0,0.078837,-0.084027,0.226254,-278.869415,-1494.563965,593.917114,-0.056722,-0.027573,0.235001,-255.825317,-1687.718140,911.040100,-0.854826,-1.316696,-0.922391,-488.578064,-1640.456787,375.966217,-0.553077,-1.199286,-1.048631,-507.828400,-1536.597046,135.857224,0.094621,-0.132279,0.164130,-402.879730,-1501.931152,579.258850,-0.889936,1.230111,1.012057,-14.702727,-1654.262451,393.552795,-0.747407,1.226561,1.380846,8.717360,-1548.330444,136.175385,-0.036247,0.065475,0.169929,-117.022995,-1476.393066,599.456055,-0.038292,-0.087609,-0.029914,-236.022964,-1425.069580,262.804657
7,0,0.181643,-0.052923,0.188083,-279.867126,-1493.014282,592.565430,-0.055846,-0.027662,0.233449,-255.395172,-1686.713745,910.934021,-0.850262,-1.317659,-0.918255,-487.931000,-1640.743896,375.934326,-0.525481,-1.171693,-1.041401,-507.922363,-1537.106567,136.189819,0.083194,-0.135228,0.167684,-402.869720,-1501.630493,579.100098,-0.896185,1.232212,1.016650,-14.419512,-1653.960205,393.523193,-0.770280,1.230865,1.378021,9.297462,-1547.655396,136.916107,-0.036488,0.066683,0.170202,-116.970528,-1475.712280,599.289734,-0.040972,-0.087167,-0.031341,-236.029266,-1424.993164,262.620392
8,0,0.177453,-0.052149,0.190681,-279.800201,-1492.549316,592.513000,-0.057596,-0.027882,0.234558,-255.082520,-1685.549561,910.693420,-0.846512,-1.324422,-0.915639,-487.235962,-1641.045898,375.928345,-0.510194,-1.198869,-1.019943,-508.203339,-1538.112061,135.872330,0.095300,-0.129401,0.152941,-402.740967,-1501.102173,579.054932,-0.897195,1.232088,1.011947,-14.149396,-1653.518555,393.492188,-0.738179,1.213984,1.382486,8.716703,-1547.854370,135.687851,-0.038293,0.072122,0.182218,-116.409416,-1474.762939,599.115662,-0.042092,-0.088837,-0.025651,-236.075516,-1424.890625,262.476349
9,0,0.176724,-0.051759,0.193066,-279.757538,-1492.047729,592.377747,-0.057327,-0.026490,0.234620,-254.651840,-1684.412720,910.556519,-0.842883,-1.331066,-0.913805,-486.403076,-1641.587402,375.915161,-0.476565,-1.216954,-0.985170,-508.705566,-1539.794922,135.725754,0.092640,-0.128365,0.156728,-402.682800,-1500.794922,578.914429,-0.897578,1.231588,1.011804,-13.860901,-1653.077026,393.548920,-0.739443,1.212904,1.382492,8.726199,-1547.552124,135.551971,-0.033308,0.078277,0.176547,-116.591728,-1473.916626,598.684509,-0.043556,-0.088148,-0.026159,-236.124207,-1424.716553,262.311859
