Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.207170,0.037173,0.068725,-317.208466,-1246.006836,450.672272,-0.210393,0.025391,0.324405,-279.157684,-1452.629150,762.583801,-0.554714,-1.218389,-0.672058,-537.973022,-1419.265015,268.660980,1.938858,2.582495,2.625001,-580.359070,-1332.680420,38.710968,-0.155129,0.042507,-0.027917,-440.603241,-1274.779419,452.080017,-0.649055,1.363896,0.274820,-63.285015,-1374.678833,253.578659,1.935781,-0.387550,-1.375150,-13.644993,-1236.131348,-0.282088,-0.376232,0.273707,-0.115336,-153.375900,-1258.319092,415.471466,-0.343026,0.031576,-0.032118,-314.095062,-1241.149902,113.053368
2,0,-0.178685,0.054235,0.053520,-318.926117,-1241.698730,449.324493,-0.218985,0.025920,0.329808,-281.289551,-1447.448975,761.906067,-0.550618,-1.228020,-0.666386,-539.518555,-1415.687256,268.154236,1.916638,2.599077,2.553184,-582.058350,-1329.465454,37.536934,-0.158817,0.044298,-0.025001,-442.195618,-1270.325195,451.265137,-0.653620,1.357673,0.271011,-64.652267,-1370.139771,253.225143,1.917415,-0.388844,-1.401937,-14.136364,-1231.825195,-0.929473,-0.380306,0.272966,-0.113306,-155.005859,-1253.804810,414.831177,-0.347991,0.033520,-0.033580,-315.485382,-1237.265747,112.284027
3,0,-0.185700,0.051596,0.053466,-320.647552,-1237.150391,448.674347,-0.224097,0.024736,0.328612,-283.226654,-1442.106812,761.464050,-0.546710,-1.225984,-0.664877,-540.997803,-1411.998047,267.284698,1.855307,2.627782,2.637562,-584.286011,-1326.427612,37.366993,-0.170484,0.038056,-0.024454,-443.822937,-1265.573608,450.447174,-0.658273,1.363470,0.276025,-66.099533,-1365.573120,252.792007,1.909341,-0.385907,-1.403799,-15.667405,-1227.350342,-1.686308,-0.381457,0.272156,-0.113603,-156.643951,-1249.220703,414.131256,-0.350046,0.033458,-0.033313,-316.841919,-1233.226074,111.495941
4,0,-0.189122,0.052292,0.051219,-322.402069,-1232.426880,447.884766,-0.224862,0.025887,0.330109,-285.234009,-1436.743530,761.126587,-0.530487,-1.247212,-0.664194,-542.557129,-1407.754395,266.887512,1.860236,2.632372,2.630522,-585.995422,-1322.956421,36.404194,-0.157495,0.036938,-0.036744,-445.658142,-1261.070435,449.374146,-0.661742,1.359971,0.277971,-67.589310,-1360.944214,252.325989,-0.301431,1.427371,0.276549,-50.006523,-1275.165283,7.030001,-0.383411,0.272350,-0.113053,-158.326645,-1244.483521,413.506195,-0.352271,0.033080,-0.034559,-318.231201,-1229.053711,110.663811
5,0,-0.186364,0.051269,0.052548,-324.089508,-1227.523560,446.943878,-0.225973,0.022932,0.327194,-287.195404,-1431.239746,760.812500,-0.532166,-1.237096,-0.656744,-544.047180,-1403.733276,265.790955,1.864659,2.637528,2.622641,-587.597046,-1319.157959,35.284035,-0.166800,0.039076,-0.026014,-447.298584,-1256.287964,448.575043,-0.664834,1.361669,0.277398,-69.167801,-1356.249390,251.906418,-0.300773,1.424341,0.276021,-51.682270,-1270.636963,6.465991,-0.388777,0.272200,-0.115931,-160.042572,-1239.638062,412.835327,-0.335220,0.036270,-0.011792,-319.556946,-1225.521240,109.419838
6,0,-0.189197,0.050146,0.050377,-325.965607,-1222.480957,446.177429,-0.230095,0.025416,0.330201,-289.437958,-1425.597656,760.482605,-0.525674,-1.249973,-0.654657,-545.737976,-1399.479736,265.172058,1.834477,2.652198,2.629222,-589.891235,-1315.890503,34.141045,-0.166601,0.036665,-0.026725,-449.093384,-1251.253418,447.582794,-0.667231,1.357272,0.275922,-70.817596,-1351.496826,251.406998,-0.302456,1.425566,0.275049,-53.280342,-1266.016479,5.932467,-0.383033,0.269635,-0.116885,-161.781906,-1234.717163,412.093292,-0.332787,0.027186,-0.013158,-321.107147,-1221.128662,108.524483
7,0,-0.133264,0.058076,0.090995,-326.497040,-1218.685181,443.836700,-0.233996,0.023005,0.331009,-291.800659,-1419.853882,759.951721,-0.518887,-1.264975,-0.652456,-547.528259,-1395.036377,264.673462,1.810688,2.666253,2.589424,-592.012451,-1311.868408,33.147400,-0.177521,0.033409,-0.028696,-450.875854,-1245.688354,446.687561,-0.665474,1.360603,0.278449,-72.557518,-1346.606567,251.019897,-0.297991,1.445009,0.275005,-54.350674,-1261.104980,5.870186,-0.389266,0.270596,-0.117910,-163.584000,-1229.648682,411.411072,-0.361995,0.030614,-0.038872,-322.589569,-1215.630493,107.985680
8,0,-0.139872,0.056104,0.087384,-328.547363,-1213.417725,443.127655,-0.234599,0.023073,0.330795,-294.062805,-1413.990723,759.692139,-0.522233,-1.251970,-0.642514,-549.175659,-1390.292236,263.332855,1.839144,2.669903,2.595931,-593.814392,-1307.464233,32.077507,-0.225609,0.012862,-0.009765,-452.446350,-1240.653076,445.727600,-0.665335,1.358781,0.276606,-74.384300,-1341.646973,250.516266,-0.296500,1.448674,0.274482,-56.009918,-1256.301514,5.437107,-0.392962,0.268823,-0.118830,-165.408478,-1224.502197,410.738464,-0.362840,0.030329,-0.038652,-324.071655,-1210.882446,107.075020
9,0,-0.164881,0.052402,0.078302,-330.573212,-1208.009766,442.502991,-0.238093,0.022108,0.331567,-296.555634,-1408.032593,759.198792,-0.513980,-1.267479,-0.641675,-551.020752,-1385.344971,262.733124,1.829301,2.683405,2.595944,-595.849060,-1303.139771,31.051138,-0.181592,0.031060,-0.026854,-454.717316,-1234.677979,444.624542,-0.669808,1.355716,0.277311,-76.222298,-1336.664795,250.055939,-0.302641,1.427048,0.274672,-58.360210,-1251.669067,4.447900,-0.385177,0.266551,-0.122980,-167.302063,-1219.278442,409.979279,-0.339796,0.029865,-0.022279,-325.416199,-1206.828857,105.808670
