Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.20608181182935284,-0.054853572605994806,0.17160451601974291,-286.10889543569874,-1465.2106034303142,591.2675927950713,-0.06000114482329489,-0.035698979697369154,0.19293703536540432,-272.089405233118,-1663.2800182780043,908.1975556677338,-0.8859263929110421,-1.3176740622243126,-0.95431933308291,-502.18644057877344,-1615.7735090669833,375.04792491849946,-0.6264266693436648,-1.281914051821916,-1.0175340236021395,-514.6247117320711,-1516.2687599817646,119.76887108717092,0.10366846406389318,-0.13136599658121173,0.11668122410746086,-408.84924947019914,-1468.7140248180258,577.9210131302425,-1.2213543609590782,1.105370534778168,1.1481353912022028,-13.023437772288268,-1623.4017721327805,355.5661494705001,-0.654086952328954,1.2282023806508988,1.3790940936344385,-4.821421888531435,-1531.5616346730485,130.24241307200444,-0.06074591497922265,0.07549436492207517,0.1415969022014801,-121.7006934221522,-1452.4301420369245,597.4969872583497,-0.036498730842269594,-0.09496358030130328,-0.04223961372657124,-240.2369113325172,-1399.968810170207,262.29738106814904
2,0,0.2060006942132695,-0.05476645363988264,0.1724622005322876,-286.0846385691956,-1464.7810721463688,591.2687621296735,-0.05910320117315487,-0.03576616879777915,0.1928393679375,-271.9634931278809,-1662.9865927715264,908.1291258912476,-0.885719043042618,-1.3174418189860686,-0.9532906859118554,-502.1021744097246,-1615.5334805324906,375.110109217442,-0.6264504807913432,-1.2815652618034727,-1.0166481103879301,-514.6329003005175,-1516.1392006946921,119.80975160027896,0.10358027644988828,-0.13100783039688074,0.1169598674530078,-408.82746678056793,-1468.3669575974372,577.9220644756313,-1.2218243270332574,1.1055561787595094,1.148720605334827,-12.953857453187416,-1622.849453915712,355.5751542184762,-0.6551713375171624,1.2301074234164433,1.3801086502382813,-4.805355806818572,-1531.0124976139532,130.2807781868498,-0.06023637050597033,0.07477421859243383,0.1414969727687623,-121.73621321173765,-1451.8978105379663,597.503692196043,-0.03629552784155672,-0.09514841217723985,-0.042286325103622374,-240.24728953787076,-1399.6003164012789,262.2882538595651
3,0,0.20590951373477343,-0.05467848716779644,0.1733125061729274,-286.0610138839289,-1464.3458679218386,591.2700704365944,-0.058196079092639186,-0.035825276143817995,0.192748968253522,-271.8356775694658,-1662.6897811578583,908.0603237306267,-0.8855215083929101,-1.3172136417060385,-0.9522664089959415,-502.0171723001388,-1615.2893211948049,375.1739389003584,-0.6264980345527903,-1.2811947976135687,-1.0157853478578964,-514.6386109028708,-1516.006421837625,119.85180483830754,0.10347943424671302,-0.13065595371039906,0.11725975096189291,-408.80572925731667,-1468.0149235826239,577.9232947223551,-1.222292637825436,1.1057342397651624,1.1493110392320651,-12.882732595476556,-1622.2899743241985,355.58572907178035,-0.6562629013622118,1.232028789760818,1.3811406574251541,-4.788781133990052,-1530.456568338567,130.32059756939526,-0.059690477617859734,0.07406299131162476,0.141409718583266,-121.77124472383646,-1451.3585343308648,597.5106272637149,-0.03609959984108185,-0.09532627614232972,-0.04233322836770763,-240.25772783936415,-1399.2279414374466,262.2791353606547
4,0,0.20580597489376298,-0.054589885043834704,0.17416007827067453,-286.03694187297987,-1463.9015801176126,591.2710116427071,-0.0572778609400617,-0.03587113221511876,0.19266929414200798,-271.7040139798483,-1662.386514149451,907.9901935206765,-0.8853382807674439,-1.316994305330343,-0.9512478912520314,-501.93025137650733,-1615.0386464181684,375.239778166695,-0.626572664367092,-1.2808010540632655,-1.0149475034594602,-514.640493396405,-1515.8689074941676,119.89506561158247,0.10335415087757731,-0.1303156361284803,0.11759331576879581,-408.78315389870636,-1467.6552664513692,577.9243772132842,-1.22275772789635,1.1059000805148012,1.149905009878915,-12.80836798486097,-1621.7198588619779,355.59781144034207,-0.657358835489389,1.2339557893421549,1.3821879288623036,-4.770334239773661,-1529.890834586955,130.36136821621903,-0.05910417620851415,0.07337438099496107,0.14134323282576983,-121.80435184221383,-1450.8084372405888,597.517082985271,-0.03591821950586371,-0.09549346848088258,-0.04237551948099902,-240.26777029117028,-1398.8491749234727,262.26943371305265
5,0,0.20568771478484668,-0.05450083960949006,0.1750101429036451,-286.0112091521003,-1463.4445029354808,591.2710228727481,-0.05634600484850189,-0.035898383671944985,0.1926036358405851,-271.5663700987157,-1662.0733869929736,907.9176463482478,-0.8851736638963628,-1.3167885280683422,-0.9502356054128871,-501.8400712246687,-1614.7788968557204,375.30795650901183,-0.6266766308783225,-1.2803844112179483,-1.0141348987469827,-514.6371530953676,-1515.7250619055483,119.93949880214544,0.10319287076646808,-0.12999172778969392,0.11797312116123877,-408.7587368812949,-1467.285051412537,577.9249335102664,-1.2232186264335818,1.1060495281077156,1.1505013072099213,-12.728906519462807,-1621.1353202873677,355.61126239319003,-0.6584558378167737,1.2358777947548882,1.3832481687883176,-4.74854515803802,-1529.311999051739,130.40249749199316,-0.05847458557714577,0.07272141451316805,0.14130516707025217,-121.83403748854502,-1450.243273802115,597.5222589872706,-0.03575837081415382,-0.09564610259829068,-0.0424084418020598,-240.27689871526033,-1398.461243993443,262.2584730937117
6,0,0.20555235929029433,-0.054411508716988584,0.17586828943709565,-285.98248549690675,-1462.97075998256,591.2694949000802,-0.05539746471890266,-0.035901623698717154,0.19255501072914633,-271.42047420813964,-1661.7467484917297,907.8414883622088,-0.8850316363390268,-1.3166008425868436,-0.9492291000247411,-501.74515884813405,-1614.5074181575778,375.378746991369,-0.626810919145204,-1.2799475078663485,-1.0133463214592506,-514.6271830503161,-1515.5732579515425,119.9849870898728,0.1029846931076431,-0.12968848659280108,0.11841141929505213,-408.73136421781317,-1466.9011565599956,577.9245399254693,-1.2236750076390155,1.1061790440309445,1.1510992247275398,-12.642369957269985,-1620.532397651957,355.62585789905364,-0.6595500013488063,1.2377843655820717,1.3843189067587556,-4.721867763237192,-1528.7166077632457,130.44330209639867,-0.05780033538335935,0.07211603509777659,0.141302448406752,-121.85877016386046,-1449.658575261386,597.5252752599586,-0.03562650300307714,-0.0957801809294763,-0.04242742891151179,-240.28453499478707,-1398.061202453099,262.24550570477686
7,0,0.20539758458307603,-0.05432199664594655,0.17674025200178964,-285.94934196450197,-1462.4764309256911,591.2657847447729,-0.054428844724034614,-0.03587553043503876,0.19252606547378634,-271.26396478190753,-1661.4027944730847,907.7604536277612,-0.8849157184838286,-1.3164354777909077,-0.9482270158193119,-501.6439357882898,-1614.2215407464114,375.4523472504156,-0.6269750795315353,-1.2794954182435696,-1.01257897149866,-514.6091969779001,-1515.411884524194,120.03132251017826,0.1027197602859295,-0.12940943063045698,0.11891973348230148,-408.69982372787416,-1466.5003676521576,577.9227365650725,-1.2241272051372944,1.1062858679329926,1.1516985657984884,-12.546702469277193,-1619.9070960347033,355.6412817163037,-0.6606367560350802,1.2396653505769966,1.3853974280595933,-4.688711900995589,-1528.1011797931026,130.48300857313907,-0.057081845822560866,0.07156877458208956,0.1413410508305033,-121.87700675410835,-1449.0497985818695,597.525186193779,-0.035528317221783276,-0.09589167907509757,-0.04242823386412023,-240.2900440810619,-1397.6460207856742,262.2297267019023
8,0,0.2052211818184496,-0.05423233068919442,0.17763169842286983,-285.91026948647374,-1461.957675106642,591.2592303036084,-0.05343658385150275,-0.03581501011660294,0.19251898906099668,-271.0944396166243,-1661.0376622535666,907.6732408295052,-0.8848288475514813,-1.3162962541323622,-0.9472271260841544,-501.5347464515937,-1613.9186563316582,375.5288642903991,-0.6271671224118852,-1.2790357151226488,-1.0118284449971582,-514.581861749343,-1515.2393906190048,120.07820265302485,0.10238959604476291,-0.1291572216667611,0.1195084539187392,-408.66281790212025,-1466.0794725212443,577.9190389068065,-1.2245761893619755,1.106368129360875,1.1522996242211303,-12.439815598257994,-1619.2555209496957,355.657120376075,-0.6617108733801849,1.2415109732860317,1.3864807078729862,-4.647476549824992,-1527.4623327237468,130.52075572138924,-0.05632153938086155,0.0710885231465202,0.14142582962230105,-121.88721073604628,-1448.4124725049087,597.5209972604534,-0.035468593280568825,-0.09597664026822555,-0.042407040974944736,-240.2927376417867,-1397.212673063144,262.21029186158546
9,0,0.20502112241892667,-0.054142433255682895,0.17854803443480258,-285.8636973441859,-1461.4108472083778,591.2491668230164,-0.05241716293092511,-0.03571534122791967,0.19253543977193519,-270.9095025445016,-1660.6475226895927,907.5785530484031,-0.8847732642355406,-1.3161864939359746,-0.946226400038478,-501.4158866783935,-1613.5962880208172,375.60830398199624,-0.6273834755503663,-1.278578406608275,-1.011088760418373,-514.5439283194362,-1515.0543240704058,120.12523213678546,0.1019873826129373,-0.1289335827903811,0.12018646327574024,-408.618977215372,-1465.6353513906863,577.9129518398843,-1.2250235099819122,1.1064249236674626,1.1529031397442193,-12.319633226466657,-1618.5740017891799,355.6728606705141,-0.6627665388928892,1.2433119126755645,1.3875653593549913,-4.596583014977495,-1526.796898613493,130.5555993047233,-0.05552396893952561,0.07068239948362459,0.14156042147743472,-121.88786537917902,-1447.7423351076454,597.5116841202422,-0.035451060418340376,-0.09603127758469215,-0.04236055728668638,-240.2918782749578,-1396.7582170881137,262.18633769968574
