Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.20606155595389966,0.03751671982345997,0.06955981028742839,-316.62773659753367,-1247.8915465543107,450.9243872739278,-0.20938467753342424,0.026248326804084954,0.32407961857151824,-278.328011552506,-1454.751622415292,762.7154261998943,-0.5550883318567508,-1.21637692018521,-0.6730040317447795,-537.3257049338653,-1420.9515446615185,268.81747302261806,1.9401533090136547,2.5800440454202467,2.624515831741697,-579.674355101093,-1334.2535432293994,38.89377971633204,-0.1520759506156152,0.04405588064239443,-0.027267156032461794,-440.0038370375639,-1276.697195447718,452.3941059636491,-0.6472671979446383,1.3643551527594857,0.2746781154543303,-62.78050544877248,-1376.4142667038107,253.60485455893382,1.9358718486779682,-0.38782698975787255,-1.376646712410128,-13.007128864206203,-1237.9939059716792,-0.2150875656456933,-0.3758015395982177,0.27399318233566405,-0.11490270708335883,-152.81331778794376,-1260.1043872543546,415.6451175726961,-0.34287508732279337,0.03176996879288024,-0.03169520626605641,-313.6533965608259,-1242.7429897920872,113.30273328543008
2,0,-0.20140163351810542,0.03942826521304133,0.06964850134332945,-317.6395834635063,-1245.11401952821,450.3858792221199,-0.21193288204558855,0.02609307113361742,0.32483317127536043,-279.57852232359335,-1451.4748455155282,762.5424358321739,-0.5517673343075606,-1.2202223752674117,-0.6707805679454344,-538.2507788833885,-1418.569980477655,268.48805520401265,1.9292398368765433,2.588824825159869,2.6227508010931078,-580.8211201477762,-1332.2265259595792,38.4296975832613,-0.15423081716387593,0.043172574315692325,-0.026821067901746737,-441.04370584618533,-1273.8390812081466,451.93996841166586,-0.6492303786739189,1.3637760126424536,0.27493660699019834,-63.71506528514373,-1373.565113018657,253.41591678360578,1.7074026494706478,-0.20324812790257946,-1.2089016545238385,-17.190258762965826,-1239.999608351226,0.3900232103984407,-0.3770709544274168,0.273696399998983,-0.11494256834544107,-153.85139362316943,-1257.2184315306777,415.30915870796247,-0.3435636897895806,0.031772090493788506,-0.03133804749385186,-314.5318569587197,-1240.2661435562209,112.85134388367301
3,0,-0.1967961899659693,0.04131014263955262,0.0697737121951534,-318.6617224625308,-1242.3024765498913,449.8534724217388,-0.21449731300011654,0.025911189312851364,0.3255944319394603,-280.8428411697323,-1448.1591660472893,762.3783154444598,-0.5484611685896605,-1.2241414340248564,-0.6685462878111595,-539.1853159758231,-1416.1604528243433,268.16799072521064,1.918404468281936,2.597643186587566,2.620996151326126,-581.9799330762106,-1330.1747380889783,37.97417381202043,-0.15650401450184465,0.04223606764571516,-0.026372196354507837,-442.0946555459838,-1270.949203360517,451.49042261056854,-0.651252790480634,1.363194061793229,0.27521299954014694,-64.65794986998593,-1370.6815396364107,253.23729224538783,1.4813772663899352,-0.020666310803472268,-1.0429210796711155,-21.354011596365527,-1241.9277797159248,0.9943517479967416,-0.3783566463212181,0.27340200702406636,-0.11497361675085675,-154.89973325968077,-1254.298663043138,414.9792906864845,-0.3442388897192619,0.0317637742583675,-0.03093938981884115,-315.42067917842957,-1237.7641646001703,112.40489859458066
4,0,-0.19228232120602334,0.043131688676628664,0.069946283365037,-319.6990969369161,-1239.4379957098095,449.32249022823856,-0.21707252136837807,0.02569391517939832,0.3263539400584606,-282.13048819106973,-1444.7856378789659,762.2186074651823,-0.5451906814713195,-1.2281285061787388,-0.6662979977894093,-540.1368247115972,-1413.7026077120286,267.8514942005386,1.907758414594485,2.6064588478223722,2.6192357920441065,-583.1567332902459,-1328.0779935596206,37.52146198650897,-0.1589153882682397,0.04123325992074019,-0.025938100206461517,-443.1623822248187,-1268.0068108323346,451.0393717421356,-0.6533257763950903,1.362604379542006,0.2754949288823313,-65.61530998954045,-1367.7495270054983,253.06613855807507,1.2602366746700402,0.15795341841113095,-0.8804809481828204,-25.46977414340035,-1243.7208166956434,1.586884471546241,-0.37965437075015934,0.27310310283411715,-0.11501637316345927,-155.96359031638676,-1251.3293184837614,414.651570745486,-0.34490519918756146,0.03173818087812625,-0.030517352378732474,-316.3227403013732,-1235.2200101449125,111.95831814700846
5,0,-0.1878971773580709,0.044863205853101974,0.0701713258940627,-320.75734958910823,-1236.4996860511387,448.78721470506594,-0.21965342526608447,0.025432680653280255,0.3271018271308693,-283.45203514919945,-1441.3333282950887,762.0577853148634,-0.5419762702201575,-1.2321767878161711,-0.6640322655594549,-541.113716578043,-1411.1739668949263,267.5316152939563,1.8974072945696774,2.6152323561945314,2.617453274419047,-584.3581879379535,-1325.9140164096973,37.06464119582324,-0.1614836242004288,0.04015091883392443,-0.025538314738649762,-444.25324169974044,-1264.988955172521,450.57958368124184,-0.6554394654995348,1.3620014703678178,0.2757682486648198,-66.59399041622765,-1364.7536182457468,252.8987596979638,1.046316561324496,0.3307320716135358,-0.7232806768049248,-29.510713435320415,-1245.3210537314578,2.156197086311477,-0.3809593605689135,0.2727919818346942,-0.11509338367257545,-157.04884992444323,-1248.292992648851,414.3211589800709,-0.3455685457398809,0.031688452428552207,-0.03009410062524512,-317.24124503788835,-1232.6146992060924,111.50553149159343
6,0,-0.18367747707477214,0.04647675870103195,0.07044721741567778,-321.8426400069802,-1233.4653813486648,448.2409914967547,-0.2222351607989235,0.02511945664546234,0.32782792230171237,-284.81879042712086,-1437.7800869658697,761.8892961226778,-0.5388377107122704,-1.236277797367483,-0.6617458664478261,-542.1250701584537,-1408.5505883377336,267.2003288531877,1.8874486703754774,2.6239251995438115,2.6156323975978046,-585.5914545409457,-1323.6590576323842,36.59572073990965,-0.16422523505449876,0.03897617320604824,-0.025194069117113103,-445.3740333849446,-1261.871229909161,450.1028158595146,-0.6575825856492497,1.3613794466410474,0.27601712719633403,-67.60132072103993,-1361.6775361160278,252.7306292358254,0.8417945712881526,0.4959190759271355,-0.5729052049162606,-33.452257273194405,-1246.6721779919592,2.690656854150357,-0.3822662405379585,0.27246030062082377,-0.11522881439041796,-158.16182447115054,-1245.1712887944113,413.9823874070562,-0.34623622343810195,0.03160789969864355,-0.029695730700509057,-318.17958132224396,-1229.9279173751358,111.03958334437549
7,0,-0.17965899603508118,0.04794686566574242,0.07076496558197427,-322.96145676249273,-1230.3123526536951,447.676358723462,-0.22481289588818962,0.02474709492576883,0.32852183423235803,-286.24247435365453,-1434.103331493846,761.7056346920787,-0.5357939898848787,-1.2404209609990844,-0.6594362300501955,-543.1803840390336,-1405.8077464389467,266.84865175074407,1.8779699681227424,2.632499851571452,2.6137577064256643,-586.8639385935896,-1321.2885365627403,36.1057682447614,-0.1671535786257686,0.03769701419424974,-0.024927943004083943,-446.5317836040388,-1258.6285315328917,449.59996794786963,-0.6597422563764491,1.360732231518208,0.2762241757724734,-68.64490687682355,-1358.5048040314093,252.55643488187428,0.6486398355930235,0.6519328311291696,-0.4307886116005793,-37.272554875362786,-1247.7206430344143,3.178637062103006,-0.38356895471921537,0.2720992640987565,-0.11544801594900501,-159.30905003014416,-1241.945475776981,413.6288511238147,-0.3469167939425191,0.03149016789841392,-0.02935200810377779,-319.1411826830158,-1227.1386390501866,110.5527641028993
8,0,-0.17587602196029622,0.04925106588513162,0.07110799143937764,-324.1204327371542,-1227.0180107193544,447.08519711625934,-0.22738161875188428,0.02430965909867745,0.329173008146618,-287.7348982034052,-1430.28081658891,761.498449561106,-0.5328631448913951,-1.244593277867849,-0.6571018669651307,-544.2893281693623,-1402.9206053076152,266.4667854703649,1.8690468591012188,2.6409197686904675,2.6118148418270115,-588.1830568103748,-1318.777682593277,35.58505879610938,-0.1702779501477266,0.03630278668094041,-0.02476346394663812,-447.73353846208494,-1255.2358117562542,449.06125979892334,-0.6619037740958809,1.3600537760561027,0.276370608615647,-69.73243322738638,-1355.2193430996408,252.37014536531248,0.46856683551755335,0.7973977974360128,-0.2981807918935631,-40.952899759875805,-1248.417027620261,3.6087375103846995,-0.38486071536465677,0.271699826011441,-0.11577706566851893,-160.49709333141664,-1238.5971230570026,413.2535205779407,-0.3476199388776828,0.0313293739296847,-0.029095951088773258,-320.1294055505109,-1224.2257416855355,110.0367597724071
9,0,-0.17236076692569563,0.05037035072001427,0.07145235835374039,-325.3261721169376,-1223.5605705480252,446.45889840184384,-0.22993591792752321,0.023802732937383095,0.32977076011758544,-289.30765976518956,-1426.2913553312528,761.2586811020371,-0.5300621145896772,-1.2487790918638104,-0.6547427572426614,-545.4615031177465,-1399.8648596464704,266.04428327056763,1.860742143306187,2.649149366074164,2.609790717395222,-589.5560163119753,-1316.1021538078048,35.023242887492245,-0.17360279059273293,0.034784651760128835,-0.02472464810295475,-448.98617572931136,-1251.6687919093683,448.4764317972289,-0.6640504057707118,1.3593382838354682,0.2764364343704769,-70.87148356784067,-1351.8060185844258,252.16510048178787,0.3029961387005786,0.9311760390820073,-0.17611907979846406,-44.478088167936036,-1248.7172809266644,3.9700032229646562,-0.3861339827846569,0.2712528988846154,-0.1162422935724042,-161.73237843977128,-1235.1086862214272,412.84887369777175,-0.3483562680512282,0.031120211113014717,-0.028963254252236094,-321.1474289903419,-1221.1685877155878,109.48281951264053
