Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.061292,-0.003991,0.431969,-408.018982,-1366.565063,535.606079,-0.290027,-0.110014,1.067750,-295.194916,-1484.873779,920.789185,-0.710618,-1.099487,-0.703272,-576.431458,-1580.540527,371.929901,-0.435394,-1.264037,-0.772460,-630.985535,-1485.742676,140.649597,-0.125389,-0.180053,0.852665,-520.031860,-1428.774170,520.435547,0.249157,-0.431154,-0.609173,-70.791672,-1432.543701,385.649597,2.659792,1.066279,-0.217662,-122.794342,-1365.710815,123.786026,-0.166378,0.044009,0.554383,-260.309204,-1312.304199,534.139832,0.029739,0.030397,0.175796,-407.274109,-1305.408813,207.078705
2,0,0.059558,-0.003404,0.429289,-407.678986,-1366.193115,535.488159,-0.284538,-0.110749,1.059265,-295.013519,-1484.706421,920.717590,-0.704248,-1.100483,-0.705243,-576.328125,-1580.093018,372.114349,-0.434947,-1.265054,-0.770491,-630.755310,-1485.577637,140.662567,-0.131105,-0.176844,0.838355,-519.883301,-1428.306274,520.466675,0.246457,-0.426718,-0.610027,-70.578880,-1432.414185,385.421234,2.659722,1.065836,-0.218861,-122.817131,-1365.496704,123.674461,-0.140668,0.036243,0.567746,-259.659393,-1312.201904,533.845154,0.027841,0.029260,0.175644,-406.866089,-1305.312134,206.896164
3,0,0.056958,-0.003743,0.427639,-407.293243,-1365.800659,535.373352,-0.283190,-0.111190,1.053246,-294.794830,-1484.387695,920.588074,-0.705683,-1.101097,-0.703609,-576.175964,-1579.716309,372.256500,-0.432392,-1.264168,-0.769224,-630.547241,-1485.397583,140.625748,-0.130178,-0.153576,0.785947,-519.440979,-1428.207031,520.491333,0.252901,-0.428060,-0.604424,-70.338821,-1432.160278,385.315704,2.658811,1.066399,-0.221986,-122.812721,-1365.307861,123.587273,-0.096506,0.064221,0.543783,-259.718628,-1311.245850,533.682190,0.025212,0.030078,0.174326,-406.400116,-1305.212769,206.718735
4,0,0.057664,0.000756,0.424071,-407.002777,-1365.409302,535.325928,-0.283591,-0.108206,1.049034,-294.604797,-1484.034668,920.717896,-0.707724,-1.100430,-0.703259,-576.008545,-1579.291626,372.293030,-0.431606,-1.259078,-0.768858,-630.327332,-1485.216797,140.627960,-0.133540,-0.152860,0.786077,-519.118286,-1427.731201,520.403687,2.171144,-1.627644,-2.744263,-98.957489,-1450.303223,374.372223,2.658143,1.066733,-0.225854,-122.773712,-1365.119629,123.510353,-0.114353,0.051592,0.568542,-258.841370,-1311.761353,533.417969,0.026673,0.030017,0.173223,-405.896515,-1305.149536,206.513077
5,0,0.055670,-0.003538,0.426112,-406.433716,-1364.955078,535.045837,-0.282356,-0.106915,1.044662,-294.398590,-1483.702271,920.658447,-0.718661,-1.098361,-0.704276,-575.641296,-1578.879150,372.158539,-0.431465,-1.260873,-0.767032,-630.113647,-1484.994751,140.553436,-0.136572,-0.152789,0.788386,-518.777832,-1427.182983,520.231750,2.161134,-1.635246,-2.763892,-98.625877,-1449.823242,374.539368,2.656702,1.068467,-0.229879,-122.724106,-1364.941162,123.439682,-0.136906,0.050214,0.556683,-258.357452,-1311.417847,533.343445,0.027500,0.028309,0.172378,-405.436005,-1305.085083,206.295074
6,0,0.056011,-0.002806,0.424979,-405.998962,-1364.526123,534.870544,-0.282783,-0.110607,1.044871,-294.174164,-1483.276367,920.634155,-0.711734,-1.101070,-0.706883,-575.549927,-1578.352417,372.380371,-0.429647,-1.264216,-0.765484,-629.934875,-1484.811279,140.526932,-0.098795,-0.159772,0.806749,-518.093567,-1426.329712,519.934448,2.147339,-1.623273,-2.785132,-98.603645,-1449.779541,374.496613,2.657858,1.066890,-0.229193,-122.733429,-1364.771851,123.301796,-0.132564,0.056003,0.560945,-257.729218,-1311.227783,533.139465,0.026754,0.028924,0.171468,-404.920807,-1304.969238,206.072815
7,0,0.053942,-0.002051,0.423209,-405.536224,-1364.053711,534.730286,-0.282290,-0.105188,1.034122,-293.960358,-1483.141479,920.342773,-0.721479,-1.097540,-0.703454,-575.298950,-1577.939453,372.371063,-0.428720,-1.264418,-0.763207,-629.724854,-1484.631348,140.487152,-0.106519,-0.152056,0.789703,-517.866394,-1425.804565,519.959290,2.148832,-1.599820,-2.763921,-98.646645,-1450.100830,374.154144,2.658200,1.066072,-0.229991,-122.692993,-1364.586060,123.166946,-0.153537,0.050329,0.549736,-257.314667,-1311.008667,532.966248,0.024125,0.029696,0.169654,-404.433105,-1304.845947,205.848862
8,0,0.052295,-0.001190,0.421784,-405.024933,-1363.527466,534.545654,-0.283021,-0.107793,1.030020,-293.757324,-1482.744873,920.204407,-0.712875,-1.102797,-0.707405,-575.143433,-1577.355957,372.733704,-0.427894,-1.266262,-0.759867,-629.548401,-1484.488647,140.481415,-0.104976,-0.152087,0.788521,-517.440308,-1425.100708,519.856567,2.146447,-1.592204,-2.753707,-98.478928,-1450.151733,373.949219,2.659849,1.063833,-0.228943,-122.676239,-1364.417114,122.974617,-0.115224,0.040733,0.570773,-256.489868,-1310.687500,532.342346,0.023125,0.031107,0.169562,-403.911224,-1304.740967,205.597565
9,0,0.050164,-0.001107,0.420832,-404.538666,-1362.984741,534.387451,-0.281787,-0.104909,1.022067,-293.427979,-1482.287720,920.088562,-0.710868,-1.103859,-0.706338,-575.050537,-1576.779297,372.900726,-0.425824,-1.266834,-0.757157,-629.402588,-1484.384888,140.438110,-0.130917,-0.157903,0.789751,-517.006104,-1424.759766,519.788879,2.144171,-1.591716,-2.755337,-98.321541,-1449.996216,373.727844,2.670802,1.053728,-0.212279,-122.816261,-1364.341431,122.602203,-0.257926,0.050363,0.498887,-256.550049,-1310.130737,533.298462,0.022113,0.031401,0.168564,-403.375702,-1304.679443,205.341766
