Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.042272,-0.004126,-0.029611,389.296783,-815.713928,544.704041,-0.169070,-0.026405,-0.153655,408.430267,-1033.589722,925.048462,0.490260,0.087003,-0.089467,-9.356716,-969.479614,648.072388,0.128837,-0.013379,-0.014713,-244.323410,-948.837585,641.020447,-0.036285,-0.017305,0.011144,264.738098,-836.818176,529.449097,-0.210957,0.008262,0.172867,823.585999,-1015.648987,671.182251,0.414390,-0.058033,-0.054807,1055.577759,-1009.934570,643.642639,0.015686,0.022151,-0.011664,551.704773,-847.627014,540.470398,0.043893,0.023762,-0.040541,400.089935,-760.250000,218.323624
2,0,0.041997,-0.004659,-0.029582,389.338928,-815.367432,544.706360,-0.170558,-0.026610,-0.154432,408.338928,-1033.144653,925.120300,0.490765,0.086212,-0.089979,-9.313574,-969.461792,647.694519,0.125180,0.013774,-0.006936,-244.048721,-948.144714,640.750977,-0.036747,-0.016843,0.010648,264.798645,-836.491577,529.411682,-0.209781,0.009565,0.173491,823.504333,-1015.811829,670.737976,0.415670,-0.059422,-0.053435,1055.553345,-1009.904602,643.526428,0.012366,0.022780,-0.009552,551.768860,-847.245972,540.494385,0.044009,0.024448,-0.043992,400.200134,-759.919739,218.321411
3,0,0.044920,-0.004857,-0.029604,389.383484,-814.981262,544.675293,-0.170050,-0.025344,-0.155045,408.278503,-1032.733398,925.254883,0.488883,0.087403,-0.087276,-9.318289,-969.574707,647.200256,0.124910,0.016285,-0.009224,-244.014908,-947.622925,640.688293,-0.032861,-0.016941,0.009982,264.824860,-836.101257,529.413330,-0.206449,0.015833,0.170904,823.372253,-1015.914917,670.252808,0.419435,-0.059846,-0.050098,1055.657959,-1010.017029,643.448059,0.013822,0.022636,-0.008553,551.831238,-846.878113,540.492493,0.045013,0.023956,-0.044111,400.299438,-759.559143,218.322540
4,0,0.047190,-0.005356,-0.028596,389.482269,-814.583679,544.659607,-0.169608,-0.027044,-0.157982,408.265625,-1032.235718,925.359192,0.490129,0.085500,-0.085842,-9.250732,-969.729187,646.617432,0.133729,-0.012868,-0.010681,-243.914169,-946.784668,640.740112,-0.032032,-0.015946,0.010283,264.895905,-835.738098,529.428589,-0.208694,0.005198,0.157163,823.528442,-1016.120789,669.459839,0.423928,-0.062983,-0.048452,1055.640625,-1009.892944,643.322937,0.013100,0.023171,-0.010069,551.912903,-846.501831,540.533203,0.045274,0.025058,-0.045597,400.413757,-759.131165,218.362274
5,0,0.045051,-0.005069,-0.028921,389.528503,-814.174744,544.728760,-0.166243,-0.026855,-0.159988,408.247681,-1031.646606,925.541504,0.491202,0.082227,-0.088590,-9.050175,-969.985779,645.917969,0.137280,-0.007144,-0.013234,-243.753540,-946.258545,640.601562,-0.033094,-0.017108,0.010894,264.976837,-835.390137,529.405762,-0.212155,-0.000943,0.166812,823.598572,-1016.613037,668.477356,0.428981,-0.066264,-0.044955,1055.618408,-1009.739380,643.173340,0.016558,0.021017,-0.013013,551.992310,-846.132629,540.520264,0.043746,0.025164,-0.045109,400.488007,-758.642639,218.369400
6,0,0.046176,-0.004637,-0.028503,389.605225,-813.769958,544.727844,-0.170332,-0.027744,-0.157531,408.166870,-1031.141357,925.643860,0.489933,0.081287,-0.089897,-8.855915,-970.293945,645.013306,0.141387,-0.005587,-0.018231,-243.641830,-945.695129,640.485962,-0.034215,-0.018162,0.012408,265.051971,-835.048340,529.362671,-0.205564,0.025873,0.170468,822.942383,-1016.863586,667.472961,0.431873,-0.069179,-0.040453,1055.528564,-1009.623169,643.039978,0.015725,0.022515,-0.014208,552.063660,-845.714111,540.494446,0.042438,0.024975,-0.042564,400.524658,-758.131836,218.351395
7,0,0.045633,-0.005005,-0.027074,389.691711,-813.336914,544.733215,-0.169693,-0.025991,-0.159937,408.208679,-1030.518188,925.827454,0.495389,0.081133,-0.083918,-8.738098,-970.486816,643.848267,0.150471,-0.004467,-0.028719,-243.472519,-945.101135,640.365295,-0.033443,-0.020156,0.014290,265.167816,-834.681152,529.287781,-0.209621,0.024675,0.171030,822.823425,-1017.473938,665.901550,0.439490,-0.074588,-0.033709,1055.459717,-1009.401428,642.798157,0.015552,0.021057,-0.016797,552.130737,-845.269043,540.462463,0.043346,0.024824,-0.041846,400.558380,-757.596680,218.327515
8,0,0.045380,-0.005081,-0.028930,389.714020,-812.872009,544.703735,-0.171904,-0.026301,-0.159871,408.210327,-1029.966675,925.936951,0.489298,0.085907,-0.075280,-8.752038,-971.018433,642.464722,0.155630,0.009562,-0.030993,-243.160492,-944.414062,640.238525,-0.034080,-0.021608,0.016549,265.259064,-834.312500,529.215027,-0.214159,0.022514,0.154724,822.814941,-1018.063782,664.067261,0.444197,-0.075740,-0.030418,1055.202393,-1009.148865,642.605957,0.013657,0.021486,-0.014688,552.263062,-844.721863,540.440186,0.043319,0.023807,-0.039822,400.641510,-757.078735,218.286072
9,0,0.046667,-0.005596,-0.026921,389.864777,-812.394348,544.625549,-0.172602,-0.025674,-0.159710,408.243439,-1029.314087,926.048706,0.482540,0.088073,-0.068521,-8.670381,-971.654968,640.849915,0.163528,0.013449,-0.051865,-243.159775,-943.546021,640.147278,-0.037025,-0.022081,0.016652,265.378906,-833.954895,529.119629,-0.211939,0.040198,0.167011,822.328064,-1018.773193,662.075928,0.465272,-0.086639,-0.023403,1055.165161,-1008.585327,641.906372,0.012949,0.019531,-0.015152,552.377075,-844.155029,540.441956,0.043732,0.023334,-0.040083,400.790497,-756.572144,218.242172
