Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.077864,0.003624,-0.001735,398.586761,-799.821960,543.379395,-0.308585,0.031619,-0.034169,452.103149,-1010.237122,936.345642,0.421796,0.017352,-0.043510,3.056832,-959.165100,605.309509,0.116335,-0.003218,-0.124232,-226.127853,-911.783813,589.410400,0.031444,0.005676,0.093395,274.432495,-826.315857,528.978821,0.146737,-0.052247,0.364676,844.460144,-970.708862,617.009949,2.653034,-1.710941,0.626455,1093.578369,-862.138977,639.498718,0.132442,0.001596,0.067900,561.814026,-822.157837,538.041321,0.109963,0.029213,0.027059,402.593109,-729.761108,221.790436
2,0,0.078301,0.004145,0.000900,398.552216,-798.933044,543.098206,-0.307199,0.031455,-0.030586,452.218353,-1009.217041,936.414673,0.417313,0.012795,-0.046156,3.610128,-960.728577,602.986511,0.127476,0.008582,-0.136942,-225.417786,-910.915833,589.738403,0.045600,0.005956,0.108278,274.575623,-825.901367,528.416077,0.138762,-0.045896,0.364208,844.324158,-970.966736,614.923096,2.668581,-1.716501,0.620321,1093.203003,-862.436829,638.214294,0.126418,0.002806,0.068302,561.804626,-821.106445,537.816467,0.110974,0.029798,0.028783,402.520935,-729.029724,221.466507
3,0,0.079416,0.003107,0.002443,398.492188,-797.990417,542.773682,-0.307167,0.030344,-0.031468,452.415741,-1007.984619,936.395996,0.414388,0.006265,-0.052496,4.306323,-962.638123,600.483459,0.140451,0.012844,-0.151997,-224.617081,-909.905396,589.976440,0.028503,0.004918,0.107258,274.371185,-824.875061,528.325867,0.116505,-0.032286,0.371494,843.946838,-971.425842,612.374023,2.677499,-1.724008,0.627027,1092.776855,-862.649109,636.440796,0.126559,0.001326,0.068556,561.754761,-820.023315,537.505676,0.110507,0.029808,0.030159,402.395996,-728.257385,221.120926
4,0,0.078155,0.003064,0.003092,398.386688,-797.024170,542.521545,-0.306542,0.029713,-0.027944,452.522491,-1006.824402,936.380249,0.408743,-0.001284,-0.056932,4.997979,-964.834351,597.825989,0.151114,0.020774,-0.171364,-223.477798,-908.706848,590.037903,0.026414,0.004432,0.102373,274.381897,-824.285706,527.957092,0.105984,-0.026107,0.367635,843.758606,-971.968140,609.919739,2.799217,-0.156920,1.784168,1073.030518,-905.435547,599.686707,0.128495,0.000679,0.066806,561.730225,-818.944580,537.148621,0.109827,0.029506,0.034086,402.242523,-727.460022,220.775970
5,0,0.079404,0.003327,0.005080,398.300598,-795.990173,542.177734,-0.301673,0.028786,-0.026809,452.811005,-1005.456299,936.310364,0.399300,-0.009841,-0.060426,5.753186,-967.231812,595.010071,0.162596,0.035745,-0.199689,-222.148666,-907.254944,589.740051,0.033746,0.009331,0.099389,274.306427,-823.489441,527.617981,0.097395,-0.019445,0.365681,843.531555,-972.584595,607.214844,2.797525,-0.160813,1.802788,1072.700684,-905.630310,596.706970,0.124774,0.002170,0.068274,561.702454,-817.748047,536.841248,0.109114,0.028633,0.037973,402.055145,-726.652771,220.350082
6,0,0.080367,0.002951,0.006103,398.204956,-794.909241,541.773193,-0.302021,0.028917,-0.026249,452.950287,-1004.101990,936.234985,0.398162,-0.014209,-0.063431,6.630592,-970.018799,592.372620,0.168743,0.038990,-0.224700,-220.408875,-905.730957,589.354492,0.028010,0.006990,0.109155,274.224854,-822.516724,527.215149,0.093471,-0.018151,0.352796,843.470581,-973.278381,604.396484,2.810567,-0.156953,1.817436,1072.160889,-906.088074,593.332153,0.124863,0.004014,0.068180,561.639893,-816.536377,536.403259,0.109629,0.028394,0.042100,401.872620,-725.882874,219.891647
7,0,0.080632,0.002516,0.009114,398.178894,-793.806946,541.321167,-0.301356,0.027498,-0.024388,453.159729,-1002.704407,935.996460,0.395995,-0.022754,-0.074521,7.794664,-972.979797,589.800842,0.174260,0.022919,-0.250621,-218.227219,-903.873352,588.672668,0.024446,0.004847,0.107330,274.197266,-821.654175,526.796509,0.093428,-0.018561,0.335151,843.440369,-974.043396,601.437073,2.827668,-0.158133,1.809046,1071.252441,-906.397827,589.732361,0.118075,0.004564,0.071583,561.628113,-815.236877,536.056152,0.104408,0.028165,0.045682,401.714935,-725.054688,219.370483
8,0,0.079817,0.002941,0.008849,398.074585,-792.586609,540.863159,-0.304778,0.030820,-0.024862,453.248657,-1001.206299,935.867920,0.362752,-0.034959,-0.083412,8.983990,-975.623230,586.125488,0.175176,0.027889,-0.278003,-215.571793,-901.799194,587.701111,0.028836,0.009189,0.106121,274.146912,-820.587524,526.242981,0.080026,-0.007087,0.331457,842.891418,-975.023438,597.830078,2.822491,-0.178291,1.840323,1070.702026,-906.523743,585.174072,0.121711,0.000433,0.068993,561.513306,-813.957336,535.592102,0.104156,0.027753,0.047329,401.589600,-724.328247,218.792648
9,0,0.077167,0.002255,0.011088,397.987946,-791.381653,540.389832,-0.297008,0.029183,-0.020900,453.460480,-999.634460,935.637634,0.343126,-0.047338,-0.095815,10.377905,-978.578186,582.935303,0.171703,0.030116,-0.309579,-212.428558,-899.588501,586.447205,0.034124,-0.000673,0.131270,274.184174,-819.745972,525.603394,0.054360,0.009759,0.333450,841.906189,-976.327759,593.635254,2.829486,-0.171474,1.846847,1069.648438,-906.841187,580.489868,0.117155,0.003403,0.071838,561.536865,-812.549072,535.137573,0.102798,0.026034,0.049130,401.495300,-723.624573,218.138748
