Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.068271,-0.005585,-0.031895,359.278931,-804.630615,544.681702,-0.156277,0.077954,-0.116072,393.964355,-1037.424194,919.799683,0.357712,0.124126,-0.081329,-33.044868,-944.958740,634.371948,0.133228,-0.004224,-0.069686,-268.864899,-906.284180,624.173767,0.006441,-0.007425,0.084131,235.154266,-830.213257,529.311401,0.057586,-0.083696,0.342677,806.668884,-976.720825,644.892212,0.082131,0.043671,0.076287,1033.001221,-927.448242,632.693970,0.121324,-0.014217,0.044628,522.018250,-830.875610,541.821899,0.046346,0.018467,0.035309,367.338562,-740.008484,219.119095
2,0,0.067556,-0.006559,-0.031097,359.257904,-805.102783,544.669312,-0.158839,0.072581,-0.124618,394.166138,-1037.254761,919.857056,0.356632,0.124033,-0.082739,-32.973671,-945.203918,634.447083,0.130485,-0.000374,-0.072171,-268.732117,-906.041565,624.514404,0.003052,-0.007182,0.087221,235.138901,-830.753845,529.321228,0.057670,-0.081915,0.344732,806.656494,-977.036133,644.670410,0.081795,0.035358,0.078994,1033.093506,-927.537170,632.479004,0.120267,-0.012858,0.044546,521.991577,-831.308350,541.803406,0.044228,0.019211,0.035389,367.272919,-740.756653,219.056564
3,0,0.066733,-0.006962,-0.030268,359.268372,-805.606750,544.629944,-0.159446,0.072361,-0.125425,394.223114,-1037.269043,920.135498,0.356939,0.122848,-0.085403,-32.896442,-945.475281,634.527710,0.129451,-0.001473,-0.075860,-268.624115,-905.838745,624.871582,0.001759,-0.005533,0.086986,235.143555,-831.325623,529.306458,0.055437,-0.080881,0.350101,806.542419,-977.438721,644.326050,0.086893,0.030980,0.080019,1033.093018,-927.402161,632.428955,0.119673,-0.012399,0.044216,521.952087,-831.781677,541.765259,0.044685,0.018855,0.035879,367.209625,-741.592590,218.964615
4,0,0.064668,-0.006742,-0.030175,359.298645,-806.127808,544.643738,-0.160410,0.072347,-0.125612,394.310608,-1037.288696,920.410828,0.357253,0.121761,-0.087774,-32.774033,-945.806030,634.586121,0.128562,-0.002613,-0.077745,-268.504547,-905.658447,625.188416,0.016162,-0.005932,0.091425,235.284088,-832.159180,529.153076,0.049426,-0.095063,0.335430,806.859558,-977.992493,644.075012,0.096596,0.036458,0.082167,1032.960815,-927.165405,632.759888,0.120784,-0.012541,0.044842,522.027222,-832.246216,541.730042,0.044859,0.019464,0.036803,367.184265,-742.416809,218.858734
5,0,0.065644,-0.006001,-0.029760,359.354218,-806.634766,544.597046,-0.162787,0.072275,-0.125514,394.417297,-1037.307617,920.611389,0.356424,0.122277,-0.088230,-32.687634,-946.185181,634.596008,0.128296,-0.001560,-0.080505,-268.315186,-905.537598,625.497620,0.012021,-0.008401,0.096541,235.329590,-832.755615,529.160095,0.049271,-0.088693,0.337329,806.775940,-978.417542,643.726440,0.102234,0.030064,0.081784,1033.062378,-927.097839,632.778809,0.121453,-0.012026,0.044299,522.044250,-832.777893,541.654846,0.041773,0.019118,0.036038,367.174133,-743.240906,218.769638
6,0,0.065174,-0.005921,-0.029324,359.402924,-807.176697,544.531494,-0.160880,0.071698,-0.123093,394.455841,-1037.403931,921.031067,0.393802,0.088130,-0.121292,-31.477068,-946.124390,634.981689,0.127627,0.001524,-0.083124,-268.122650,-905.410645,625.760925,0.002362,-0.004850,0.086743,235.266281,-833.133667,529.321228,0.049721,-0.089495,0.336508,806.819763,-978.869934,643.294006,0.117684,0.024923,0.084840,1033.161987,-926.890564,632.673401,0.116941,-0.010297,0.044337,522.108582,-833.306946,541.608459,0.042106,0.020275,0.034877,367.174133,-744.132385,218.657318
7,0,0.063058,-0.006267,-0.029295,359.461548,-807.775024,544.479309,-0.166105,0.077935,-0.117126,394.502350,-1037.523315,921.234009,0.354116,0.119987,-0.091100,-32.368774,-947.154053,634.577026,0.127426,-0.000080,-0.085746,-267.945618,-905.322021,626.069275,-0.001601,-0.006438,0.091493,235.371033,-833.817261,529.244995,0.052830,-0.090597,0.333008,806.847839,-979.349976,642.811157,0.125563,0.020376,0.086493,1033.213013,-926.746826,632.617249,0.116960,-0.010168,0.043167,522.150146,-833.892639,541.503723,0.040447,0.020404,0.036532,367.133514,-745.030029,218.516586
8,0,0.062485,-0.005688,-0.029022,359.513611,-808.380066,544.368103,-0.168350,0.078018,-0.115492,394.691772,-1037.548218,921.428833,0.392026,0.087877,-0.124104,-31.193859,-947.037964,634.922791,0.126392,0.004308,-0.088514,-267.683472,-905.203491,626.322388,0.001894,-0.000410,0.080670,235.504196,-834.640320,529.120605,0.060149,-0.084365,0.348400,806.790955,-979.610596,642.161621,0.133275,0.017974,0.090078,1033.335571,-926.713806,632.655945,0.117871,-0.009994,0.042736,522.214417,-834.470093,541.366272,0.038498,0.020394,0.036538,367.110229,-745.947266,218.347687
9,0,0.063323,-0.006156,-0.028359,359.630005,-809.015930,544.228882,-0.169697,0.078488,-0.115838,394.935944,-1037.582153,921.608948,0.391819,0.086261,-0.126184,-31.031183,-947.636780,634.938660,0.126416,0.005760,-0.092591,-267.450073,-905.119568,626.596863,0.007950,-0.008976,0.101323,235.684067,-835.496826,528.913208,0.071233,-0.082877,0.343695,806.970215,-979.954712,641.977173,0.140232,0.014208,0.092917,1033.335693,-926.583740,632.597717,0.114884,-0.006716,0.044218,522.352051,-835.051270,541.174683,0.039346,0.021823,0.035798,367.100067,-746.927979,218.153290
