Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.246544,-0.062497,0.190760,-289.898285,-1483.043457,597.372070,-0.124108,-0.026785,0.203129,-272.408875,-1683.194946,919.385010,-0.841924,-1.303449,-0.912903,-508.478333,-1637.134033,380.124969,-0.695381,-1.194420,-1.068737,-522.701782,-1527.518433,129.125778,0.129696,-0.133509,0.158499,-414.523712,-1487.192749,585.356628,-1.076660,1.309704,1.138584,-14.485094,-1643.353271,370.164459,-0.544787,1.231000,1.295182,0.597537,-1539.978760,137.988922,-0.117483,0.090117,0.102811,-127.178986,-1466.149780,605.107178,-0.005521,-0.091282,-0.030942,-244.940933,-1409.728882,270.212189
2,0,0.246428,-0.063501,0.191277,-289.946472,-1482.945923,597.266541,-0.125286,-0.025607,0.205462,-272.528900,-1683.054688,919.375916,-0.841361,-1.303307,-0.912547,-508.464050,-1637.104736,380.063477,-0.687549,-1.191759,-1.069048,-522.700623,-1527.672852,128.962418,0.140951,-0.144808,0.151850,-414.423096,-1487.072876,585.431091,-1.049070,1.318577,1.170872,-14.385654,-1643.195679,370.877869,-0.548010,1.223895,1.317026,1.095393,-1539.946045,137.790878,-0.173573,0.092731,0.094272,-127.374443,-1466.072510,605.416199,-0.007695,-0.091812,-0.027192,-245.036163,-1409.613281,270.149994
3,0,0.245288,-0.063743,0.191744,-290.000366,-1482.850464,597.201843,-0.124652,-0.026680,0.205492,-272.552185,-1682.874756,919.330566,-0.840967,-1.303401,-0.911982,-508.419342,-1637.073242,379.987488,-0.697072,-1.187413,-1.072470,-522.826660,-1527.544678,128.983719,0.141168,-0.143798,0.153084,-414.470734,-1487.034912,585.322083,-1.051316,1.318538,1.173193,-14.367896,-1642.973022,370.904907,-0.549666,1.225325,1.316985,1.092438,-1539.712891,137.785614,-0.185385,0.091178,0.092512,-127.383698,-1465.889404,605.388611,-0.007930,-0.092962,-0.026575,-245.135269,-1409.530762,270.020264
4,0,0.245921,-0.063469,0.194014,-290.053375,-1482.695312,597.092346,-0.124637,-0.026625,0.206412,-272.574646,-1682.694580,919.273010,-0.840272,-1.304556,-0.912124,-508.386505,-1637.052002,379.930725,-0.625747,-1.245175,-1.038222,-522.907959,-1529.786621,127.568260,0.141494,-0.144439,0.153196,-414.519653,-1486.980225,585.222839,-0.989315,1.311152,1.158135,-14.455196,-1641.502563,370.701447,-0.549794,1.224836,1.317694,1.072452,-1539.479858,137.748138,-0.043523,0.087732,0.120595,-127.159523,-1465.813721,604.312439,-0.008066,-0.093632,-0.027880,-245.225250,-1409.418091,269.908112
5,0,0.244868,-0.063416,0.196139,-290.101105,-1482.505737,597.018982,-0.123184,-0.026973,0.205634,-272.537811,-1682.496948,919.251160,-0.840002,-1.304491,-0.911350,-508.331848,-1637.037354,379.853394,-0.626368,-1.243358,-1.036137,-522.989685,-1529.834473,127.526520,0.128324,-0.133508,0.160412,-414.735687,-1487.001587,584.942383,-1.018218,1.296816,1.115669,-14.564500,-1640.889771,369.666565,-0.551751,1.227243,1.318858,1.099624,-1539.249146,137.746826,-0.025367,0.089063,0.125445,-127.267853,-1465.412598,604.169189,-0.005220,-0.090655,-0.031367,-245.255356,-1409.338013,269.839966
6,0,0.245558,-0.063762,0.196713,-290.175079,-1482.333618,596.928589,-0.124031,-0.025727,0.207250,-272.497986,-1682.290039,919.211060,-0.838761,-1.304854,-0.910291,-508.277008,-1637.005127,379.811920,-0.624859,-1.233673,-1.036184,-523.032593,-1529.927490,127.537773,0.127914,-0.133093,0.160343,-414.779175,-1486.923096,584.884521,-1.018445,1.296522,1.121498,-14.564335,-1640.540039,369.689667,-0.552097,1.228520,1.318920,1.117032,-1539.032471,137.724792,-0.035045,0.086414,0.122883,-127.327797,-1465.270264,604.153259,-0.007924,-0.092023,-0.025893,-245.331375,-1409.173218,269.766479
7,0,0.242741,-0.063189,0.197635,-290.238800,-1482.188721,596.901855,-0.124977,-0.025542,0.208428,-272.455292,-1682.061646,919.212891,-0.840106,-1.304131,-0.908331,-508.174530,-1636.970459,379.715698,-0.623034,-1.232412,-1.036189,-523.064819,-1529.971802,127.425461,0.143205,-0.139029,0.155416,-414.932159,-1486.746704,584.714172,-0.994543,1.311111,1.159039,-14.367787,-1640.480225,370.691956,-0.551013,1.226183,1.319315,1.067194,-1538.820923,137.643143,-0.212846,0.092112,0.092283,-128.129303,-1464.676514,605.463318,-0.009016,-0.092205,-0.022564,-245.423737,-1409.063843,269.690918
8,0,0.241301,-0.063810,0.196717,-290.301788,-1482.014771,596.840576,-0.124404,-0.025672,0.209048,-272.388184,-1681.790039,919.254333,-0.838593,-1.304286,-0.907573,-508.138702,-1636.919067,379.722076,-0.623672,-1.234742,-1.035221,-523.119385,-1530.022705,127.377991,0.145203,-0.138054,0.156413,-414.976624,-1486.625854,584.682739,-0.996835,1.311075,1.159002,-14.371017,-1640.143799,370.667297,-0.551356,1.224020,1.318464,1.031048,-1538.596924,137.576340,-0.223247,0.088312,0.088260,-128.159332,-1464.412964,605.423157,-0.009566,-0.091239,-0.025221,-245.502075,-1408.965454,269.596222
9,0,0.240975,-0.064473,0.194908,-290.362183,-1481.794312,596.785767,-0.124087,-0.025962,0.208725,-272.302612,-1681.479614,919.311035,-0.839489,-1.303538,-0.906807,-508.045502,-1636.867554,379.691925,-0.622486,-1.242741,-1.033036,-523.148499,-1530.043579,127.264915,0.140918,-0.138079,0.156244,-415.009979,-1486.470947,584.614502,-0.997462,1.309700,1.161284,-14.355938,-1639.807495,370.701843,-0.552367,1.225964,1.319041,1.064209,-1538.349976,137.585266,-0.200895,0.092710,0.094004,-127.895012,-1464.261108,605.128662,-0.028617,-0.106279,-0.001310,-245.681534,-1408.582275,269.615082
