Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.142268,0.006301,-0.019229,-398.978394,-1465.229492,449.652161,-0.224296,-0.047543,0.201513,-413.254242,-1673.096436,764.710083,-0.460168,-1.269058,-0.745978,-637.569580,-1607.473877,256.959595,-0.833769,-1.216194,-1.401727,-666.837952,-1521.705688,29.322868,-0.209757,-0.042073,-0.130638,-525.112000,-1472.974365,446.308655,1.327129,-1.033457,-0.437681,-126.998764,-1589.395386,279.473541,2.485659,1.349494,-0.270057,-149.046158,-1496.649536,28.730124,-0.318608,0.269735,-0.260270,-238.869232,-1496.569336,420.296021,-0.312747,-0.010957,-0.207777,-378.274200,-1456.430420,113.999306
2,0,-0.139355,0.006223,-0.018479,-399.224121,-1463.927368,449.464569,-0.223355,-0.048558,0.201273,-413.430603,-1671.882446,764.374268,-0.457855,-1.280606,-0.739212,-637.740662,-1605.747314,256.996765,-0.835117,-1.214744,-1.394879,-666.989868,-1520.520508,28.877800,-0.189228,-0.063389,-0.096205,-525.507507,-1471.823364,446.105469,1.324589,-1.033889,-0.447970,-127.141716,-1588.723755,279.189056,2.495235,1.341482,-0.259919,-149.504913,-1496.011475,28.140921,-0.322047,0.271772,-0.260003,-239.041962,-1495.153809,420.195801,-0.312037,-0.012464,-0.207979,-378.544617,-1454.973389,113.872162
3,0,-0.143206,0.006986,-0.019459,-399.524445,-1462.472778,449.471497,-0.220532,-0.050797,0.200417,-413.589417,-1670.575317,764.068420,-0.457677,-1.280999,-0.739200,-637.957031,-1604.472046,256.840851,-0.830948,-1.216626,-1.400966,-667.291748,-1519.565674,28.904335,-0.185683,-0.062341,-0.103997,-525.804016,-1470.280396,445.970398,1.312696,-1.023862,-0.460777,-127.128693,-1587.894531,278.913208,2.498897,1.337889,-0.272104,-149.548859,-1495.138916,27.871449,-0.318204,0.273129,-0.262344,-239.377319,-1493.659790,419.977203,-0.313904,-0.013928,-0.205191,-378.859802,-1453.464355,113.813171
4,0,-0.141494,0.006155,-0.019615,-399.808838,-1460.930420,449.359253,-0.221058,-0.050092,0.203767,-413.708405,-1669.201782,763.834778,-0.457094,-1.271740,-0.743535,-638.098694,-1603.553345,256.493042,-0.815661,-1.316098,-1.377744,-668.190063,-1517.708984,28.429054,-0.185733,-0.062497,-0.108359,-526.085205,-1468.683350,445.940002,-0.679583,1.297318,0.283787,-156.557007,-1603.424927,267.454956,2.497685,1.341572,-0.279297,-149.556442,-1494.332397,27.681763,-0.318026,0.274071,-0.261574,-239.683746,-1492.015259,419.917542,-0.310847,-0.011656,-0.210534,-379.067841,-1451.791382,113.801506
5,0,-0.140867,0.006301,-0.019291,-400.078888,-1459.277222,449.361816,-0.219293,-0.051340,0.205141,-413.802582,-1667.698853,763.631104,-0.455760,-1.272561,-0.740781,-638.348572,-1602.035645,256.494324,-0.814903,-1.307686,-1.378785,-668.305664,-1516.519287,28.334995,-0.181395,-0.063235,-0.103965,-526.348572,-1467.093994,445.836578,-0.688156,1.283570,0.279875,-157.059113,-1602.434448,266.973328,2.488610,1.338486,-0.278352,-149.677841,-1493.215210,27.412344,-0.299737,0.272201,-0.248154,-239.912613,-1490.613281,419.663849,-0.312367,-0.014085,-0.208462,-379.268829,-1450.086060,113.754158
6,0,-0.139075,0.006554,-0.019597,-400.323334,-1457.474854,449.364380,-0.216905,-0.052229,0.205951,-413.868835,-1666.070557,763.426697,-0.456459,-1.278584,-0.735061,-638.359680,-1600.009888,256.566895,-0.805059,-1.357121,-1.373341,-668.898071,-1515.013428,28.277992,-0.190967,-0.060909,-0.100999,-526.571289,-1465.366943,445.823212,-0.677980,1.287023,0.269597,-157.181137,-1600.893433,266.965576,2.481835,1.342665,-0.273167,-149.726578,-1492.173218,27.151112,-0.319400,0.270425,-0.261324,-240.114136,-1488.432983,419.959747,-0.312295,-0.015253,-0.206651,-379.378693,-1448.283203,113.753540
7,0,-0.136888,0.006645,-0.018787,-400.578339,-1455.539795,449.320160,-0.217265,-0.050106,0.206555,-413.905243,-1664.337769,763.295715,-0.458524,-1.276056,-0.738033,-638.542236,-1598.726196,256.408020,-0.798638,-1.336140,-1.377680,-668.967407,-1513.643433,28.184322,-0.207043,0.008297,-0.230868,-526.939880,-1463.775024,445.518799,-0.677168,1.292301,0.268327,-157.491913,-1599.439331,266.972351,2.479659,1.341427,-0.281511,-149.726166,-1490.930298,27.036844,-0.315283,0.268998,-0.259112,-240.275421,-1486.514893,419.985382,-0.311144,-0.014228,-0.204956,-379.493469,-1446.432251,113.749886
8,0,-0.138700,0.005641,-0.019639,-400.819550,-1453.497559,449.312195,-0.214115,-0.052151,0.207346,-413.912628,-1662.483276,763.097839,-0.458659,-1.279654,-0.731099,-638.673218,-1596.508423,256.565826,-0.799204,-1.335242,-1.378313,-669.053650,-1512.073120,28.149521,-0.192887,-0.033159,-0.154289,-527.007690,-1461.683960,445.549103,-0.681887,1.315544,0.281480,-157.818146,-1598.091309,267.524933,2.480249,1.343487,-0.294876,-149.656723,-1489.660400,26.973995,-0.318722,0.272421,-0.261355,-240.547974,-1484.531982,420.053009,-0.312694,-0.014576,-0.206969,-379.572815,-1444.480713,113.808937
9,0,-0.140258,0.005839,-0.020857,-401.078186,-1451.318970,449.281708,-0.214551,-0.051691,0.206066,-413.870117,-1660.463745,762.891968,-0.456580,-1.289716,-0.731040,-638.934509,-1594.518555,256.784027,-0.799645,-1.336034,-1.377455,-669.164429,-1510.390381,28.042181,-0.177773,-0.011724,-0.212773,-527.509827,-1459.749023,445.073151,-0.680975,1.312244,0.276090,-158.040207,-1596.321167,267.473389,2.486529,1.337877,-0.296702,-149.803253,-1488.236694,26.737932,-0.318611,0.271714,-0.259887,-240.829666,-1482.354004,420.023529,-0.312131,-0.017332,-0.204390,-379.710327,-1442.477539,113.810593
