Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.029465,0.008652,0.082939,-286.135590,-1455.937988,586.499573,-0.119675,0.010771,0.003607,-259.006073,-1597.050903,926.778442,-0.940377,-0.958939,-0.964282,-475.220245,-1543.531494,375.897186,-0.389241,-1.275817,-0.799996,-518.761597,-1486.883545,124.810966,-0.087721,-0.027636,-0.007599,-415.083954,-1464.602783,572.352966,-1.033475,1.035311,0.962705,-18.632805,-1543.015625,384.765625,-0.567839,1.267888,0.846360,-3.011855,-1487.438477,100.008331,0.036943,0.069269,0.088705,-123.282249,-1442.757812,586.109436,-0.011911,0.032325,-0.021244,-270.473206,-1388.604370,259.861664
2,0,0.034327,0.013083,0.081028,-285.655457,-1455.073486,586.402588,-0.120475,0.010432,0.006084,-257.879669,-1595.540527,926.825195,-0.944975,-0.975057,-0.957748,-474.569489,-1543.471436,376.362183,-0.388496,-1.276300,-0.797845,-518.613037,-1487.108887,124.983231,-0.088884,-0.025833,-0.007025,-414.572357,-1464.107056,572.404663,-1.038033,1.032074,0.963469,-17.894245,-1542.246582,384.480927,-0.567835,1.264965,0.846418,-2.750077,-1486.800415,99.780029,0.041432,0.043259,0.105542,-122.325737,-1441.821777,585.588867,-0.010137,0.040391,-0.024331,-270.279663,-1388.336670,259.599121
3,0,0.049209,0.021336,0.073804,-285.221619,-1454.403564,585.980469,-0.122143,0.013312,0.009543,-256.739197,-1594.031006,926.956909,-0.946831,-0.971442,-0.956334,-474.112091,-1543.322021,376.491608,-0.386421,-1.272817,-0.794851,-518.453552,-1487.358643,125.197083,-0.089929,-0.023818,-0.006513,-414.010498,-1463.590698,572.437683,-1.035056,1.033022,0.960845,-17.247129,-1541.493042,384.221100,-0.568420,1.264606,0.847307,-2.536255,-1486.096558,99.602890,0.049196,0.034561,0.106394,-121.750778,-1440.839722,585.203247,-0.014606,0.034249,-0.018496,-270.174011,-1387.918823,259.463989
4,0,0.030501,0.015207,0.081188,-284.489105,-1453.606323,586.238586,-0.122598,0.012434,0.021079,-255.701630,-1592.451416,927.167297,-0.952006,-0.973518,-0.954418,-473.640167,-1543.152344,376.749176,-0.385523,-1.273064,-0.793341,-518.278015,-1487.572144,125.385689,-0.076586,-0.037867,0.046745,-413.060455,-1463.295044,572.351746,-1.046484,1.044943,0.967780,-16.570034,-1540.701904,384.027466,-0.573569,1.267549,0.851078,-2.131019,-1485.307861,99.468712,0.045763,0.036932,0.107499,-121.167183,-1439.903564,584.893555,-0.017560,0.036137,-0.016345,-269.992188,-1387.543823,259.263245
5,0,0.022368,0.012062,0.088690,-283.696259,-1453.057983,586.138306,-0.126233,0.012900,0.024222,-254.470016,-1590.754272,927.234375,-0.983075,-0.958507,-0.978230,-473.172028,-1544.330444,376.835999,-0.387157,-1.277392,-0.791426,-518.091125,-1487.744629,125.578400,-0.076857,-0.037494,0.051198,-412.390533,-1462.764648,572.406189,-1.041571,1.035825,0.962836,-15.773943,-1539.965210,383.734955,-0.567557,1.259946,0.850893,-1.970026,-1484.714722,99.117287,0.041962,0.049315,0.109959,-120.557129,-1438.921143,584.667603,-0.016629,0.036835,-0.014685,-269.749176,-1387.205078,259.070801
6,0,0.029711,0.017854,0.082799,-283.133392,-1452.107788,585.990112,-0.128624,0.013163,0.023949,-253.178741,-1589.001953,927.385620,-0.986632,-0.963116,-0.974701,-472.675201,-1544.057373,377.165588,-0.387264,-1.276695,-0.789765,-517.821472,-1487.896484,125.788673,-0.079317,-0.036007,0.048400,-411.695770,-1462.135254,572.428284,-1.042644,1.032526,0.964064,-14.988535,-1539.189941,383.408630,-0.565667,1.258281,0.850438,-1.736141,-1484.024536,98.850349,0.040554,0.049629,0.108463,-119.973091,-1437.966431,584.313782,-0.017334,0.036579,-0.012514,-269.515686,-1386.803345,258.876648
7,0,0.021892,0.012173,0.091245,-282.265533,-1451.356567,585.829651,-0.140501,0.011755,0.018350,-251.873260,-1587.097900,927.395386,-0.989408,-0.816078,-1.006206,-473.409271,-1544.237549,375.228424,-0.388649,-1.276978,-0.787686,-517.581421,-1487.993896,125.999954,-0.025981,-0.012349,0.044033,-410.680511,-1462.980347,572.015808,-1.044531,1.030433,0.963181,-14.243051,-1538.372192,383.040314,-0.568532,1.265316,0.854309,-1.254338,-1483.180908,98.679008,0.039171,0.050394,0.109925,-119.168060,-1436.952271,584.013184,-0.019710,0.037258,-0.010560,-269.279785,-1386.403687,258.704529
8,0,0.027397,0.020352,0.086723,-281.687164,-1450.503052,585.751709,-0.138423,0.017952,0.028565,-250.518173,-1585.278442,927.574036,-0.989114,-0.819872,-1.002997,-472.806030,-1543.800781,375.540924,-0.388557,-1.278544,-0.785543,-517.367798,-1488.065186,126.205711,-0.026264,-0.010170,0.044389,-409.955475,-1462.347534,572.009155,-1.048033,1.034282,0.962995,-13.498270,-1537.630737,382.721069,-0.570353,1.269852,0.856699,-0.918511,-1482.379272,98.425339,0.034881,0.051973,0.113643,-118.408051,-1435.937866,583.656677,-0.021678,0.039588,-0.009808,-268.995026,-1385.975464,258.500366
9,0,0.027225,0.022608,0.088028,-280.906677,-1449.638550,585.628113,-0.140066,0.017070,0.020982,-249.000214,-1583.362061,927.672546,-1.002977,-0.859145,-1.008661,-472.308228,-1543.360107,376.648193,-0.384492,-1.276013,-0.785997,-517.243286,-1488.250732,126.648308,-0.029785,-0.011622,0.043099,-409.169037,-1461.618042,572.078369,-1.050612,1.035110,0.964337,-12.769522,-1536.812134,382.348419,-0.567723,1.262748,0.856071,-0.652048,-1481.693237,98.094398,0.038526,0.053289,0.114829,-117.670403,-1434.861694,583.304688,-0.022032,0.040327,-0.007944,-268.734436,-1385.568359,258.269165
