Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.069013,-0.017279,-0.027440,350.641479,-829.931274,551.131714,-0.237975,0.063476,-0.126204,375.613495,-1054.716675,932.811157,0.598597,0.078409,-0.080667,-51.146938,-999.792725,640.879028,0.094840,0.043497,-0.044635,-283.896942,-980.197510,639.365479,0.026036,-0.015808,0.053105,226.512527,-853.135193,534.047302,0.021010,-0.129756,0.340070,789.587524,-1014.544128,674.848267,-0.024613,-0.045639,0.046973,1019.503235,-970.267639,679.821777,0.152799,-0.035940,0.029337,513.615784,-856.591492,550.376282,0.015177,0.023485,-0.035281,364.572998,-766.550110,224.146118
2,0,0.070296,-0.018306,-0.025801,350.648743,-829.877808,551.117615,-0.236803,0.063241,-0.127258,375.668121,-1054.732788,932.762756,0.598963,0.078016,-0.080310,-51.117073,-999.802979,640.865295,0.095407,0.044816,-0.044450,-283.845673,-980.244690,639.345154,0.025340,-0.016611,0.052559,226.521484,-853.117554,534.063904,0.017182,-0.133728,0.337279,789.727844,-1014.540527,674.879761,-0.024248,-0.045362,0.047273,1019.527222,-970.179077,679.738220,0.152732,-0.035610,0.029117,513.602844,-856.535706,550.366333,0.015293,0.023685,-0.035239,364.551544,-766.450989,224.177200
3,0,0.071050,-0.017851,-0.025401,350.634827,-829.845520,551.105591,-0.236480,0.062800,-0.126921,375.675385,-1054.779419,932.691772,0.597276,0.072964,-0.086352,-51.028946,-999.979553,640.991089,0.093750,0.049094,-0.038149,-283.738556,-980.168152,639.251770,0.025271,-0.016579,0.052702,226.508560,-853.108398,534.056335,0.022833,-0.126292,0.333162,789.643616,-1014.301758,674.771790,-0.024673,-0.045008,0.045623,1019.557617,-970.069702,679.709656,0.151421,-0.036734,0.028779,513.612610,-856.463928,550.368469,0.015992,0.023102,-0.034251,364.491638,-766.354553,224.147141
4,0,0.070678,-0.017204,-0.025950,350.601807,-829.783264,551.082397,-0.236530,0.062647,-0.127307,375.715424,-1054.849854,932.584839,0.600770,0.077543,-0.080875,-51.027523,-999.823364,640.832275,0.095713,0.047206,-0.034093,-283.557220,-980.041687,639.257874,0.028087,-0.017900,0.049485,226.543640,-853.133667,534.084534,0.024014,-0.117295,0.346071,789.388123,-1014.281616,674.723694,-0.023523,-0.047412,0.044725,1019.585388,-969.919739,679.532654,0.152626,-0.037764,0.028031,513.587341,-856.377869,550.352600,0.016057,0.023090,-0.032952,364.438599,-766.268005,224.153778
5,0,0.069579,-0.017254,-0.026015,350.591278,-829.748291,551.061035,-0.236453,0.062284,-0.126301,375.767029,-1054.912964,932.454529,0.600645,0.077103,-0.081456,-50.996868,-999.815613,640.813599,0.094379,0.051670,-0.026520,-283.453949,-979.946045,639.230103,0.027489,-0.015748,0.053229,226.471313,-853.059143,533.997437,0.023566,-0.126267,0.334001,789.685791,-1014.109375,674.644836,-0.023593,-0.047182,0.044857,1019.596802,-969.836243,679.472839,0.176648,-0.053202,0.047500,513.668457,-855.780762,550.588196,0.016606,0.023502,-0.034439,364.398193,-766.162659,224.116684
6,0,0.067868,-0.017646,-0.025721,350.587830,-829.712708,551.028503,-0.236028,0.063523,-0.124696,375.810181,-1054.983765,932.276611,0.597444,0.073062,-0.087347,-50.932720,-1000.000488,640.918213,0.094025,0.050937,-0.043903,-283.741302,-980.331421,639.323547,0.027386,-0.015563,0.054107,226.476196,-853.060059,533.933777,0.012883,-0.120801,0.340739,789.572388,-1014.060486,674.339661,-0.023554,-0.046980,0.045049,1019.646545,-969.784302,679.453674,0.177221,-0.053298,0.047062,513.681824,-855.697693,550.505127,0.016498,0.023691,-0.033337,364.365692,-766.083923,224.073227
7,0,0.069418,-0.017822,-0.025073,350.594147,-829.703003,550.939331,-0.234152,0.063207,-0.124520,375.850037,-1055.022949,932.154358,0.597025,0.073659,-0.086767,-50.935627,-999.970459,640.895691,0.095510,0.042686,-0.044327,-283.747070,-980.315735,639.374634,0.025975,-0.016535,0.055207,226.473572,-853.075134,533.871826,0.012469,-0.119299,0.342861,789.544739,-1013.980164,674.263367,-0.008747,-0.028599,0.056596,1019.275757,-969.720520,679.891907,0.177837,-0.050882,0.049539,513.735413,-855.626282,550.422363,0.016837,0.022992,-0.032669,364.346893,-766.019897,224.011887
8,0,0.069001,-0.017964,-0.025155,350.591339,-829.722290,550.853821,-0.233781,0.063225,-0.124964,375.893555,-1055.076904,931.999207,0.599011,0.078294,-0.081409,-50.948853,-999.809692,640.743896,0.093472,0.047290,-0.044166,-283.688110,-980.267700,639.393066,0.025844,-0.016091,0.055203,226.499481,-853.111328,533.776062,0.011201,-0.125057,0.347714,789.600342,-1013.971191,674.141724,-0.019890,-0.049299,0.046867,1019.732483,-969.533630,679.170044,0.178595,-0.051412,0.048444,513.710754,-855.600647,550.351685,0.016988,0.023529,-0.032681,364.350952,-765.965393,223.932266
9,0,0.069800,-0.018024,-0.025434,350.596161,-829.771545,550.778564,-0.233213,0.063561,-0.125334,375.912537,-1055.105957,931.854492,0.596646,0.073684,-0.087104,-50.874016,-999.979797,640.833679,0.093142,0.048319,-0.044171,-283.666595,-980.244812,639.424072,0.027481,-0.016016,0.055064,226.532227,-853.174927,533.674866,0.021861,-0.126486,0.338635,789.692932,-1013.797852,674.355896,-0.023843,-0.046347,0.046276,1019.671814,-969.494324,679.228821,0.180112,-0.051560,0.049299,513.760559,-855.627319,550.264832,0.016653,0.023361,-0.033002,364.389618,-765.937500,223.873322
10,0,0.071080,-0.018116,-0.024888,350.651611,-829.835083,550.713074,-0.230957,0.064328,-0.125382,375.925293,-1055.097290,931.778015,0.595174,0.074445,-0.086475,-50.862698,-1000.002869,640.773926,0.093299,0.044704,-0.044812,-283.652802,-980.208740,639.409729,0.026997,-0.016041,0.054159,226.569901,-853.261414,533.610901,0.021315,-0.131125,0.343385,789.755188,-1013.812683,674.255615,-0.024279,-0.045645,0.047105,1019.655457,-969.381470,679.157104,0.176981,-0.051107,0.050392,513.781433,-855.698975,550.233765,0.017018,0.022858,-0.032865,364.428345,-765.913635,223.850555
11,0,0.070371,-0.018181,-0.024895,350.708984,-829.939880,550.706116,-0.231828,0.063635,-0.126079,375.978088,-1055.116089,931.673279,0.592588,0.074377,-0.088310,-50.752243,-999.996216,640.606323,0.090040,0.072471,-0.029792,-283.353729,-980.068420,639.205994,0.027809,-0.016458,0.055136,226.642563,-853.341980,533.579407,0.022031,-0.126392,0.338528,789.752014,-1013.745300,674.271057,-0.024517,-0.044160,0.046565,1019.640442,-969.264221,679.114380,0.179376,-0.052481,0.050124,513.837708,-855.837830,550.199158,0.017581,0.023070,-0.033086,364.488129,-765.934204,223.852570
12,0,0.069842,-0.018117,-0.025328,350.756317,-830.053345,550.743835,-0.231771,0.063851,-0.124720,375.979187,-1055.125854,931.680115,0.594983,0.073839,-0.087830,-50.817577,-1000.080933,640.736450,0.094357,0.054990,-0.037617,-283.414093,-980.027710,639.278137,0.028693,-0.015166,0.052437,226.696060,-853.411682,533.573608,0.029457,-0.129058,0.335106,789.854553,-1013.709290,674.414856,-0.021721,-0.047316,0.047447,1019.763611,-969.184631,678.955750,0.179626,-0.052836,0.049772,513.874023,-856.020508,550.212219,0.017909,0.023288,-0.032092,364.539978,-765.982971,223.877899
13,0,0.072149,-0.018039,-0.024862,350.841492,-830.163696,550.724304,-0.232569,0.063752,-0.125121,376.005493,-1055.127808,931.707092,0.594159,0.072283,-0.088464,-50.835457,-1000.135315,640.724365,0.092990,0.051355,-0.034635,-283.379150,-979.849121,639.298401,0.028807,-0.015419,0.052896,226.743484,-853.500732,533.580872,0.024032,-0.133169,0.331684,789.984314,-1013.841736,674.459045,-0.021320,-0.047241,0.046642,1019.727600,-968.990967,678.842163,0.182000,-0.053932,0.049472,513.897827,-856.215942,550.226379,0.017466,0.022653,-0.030227,364.564484,-766.082581,223.898727
